Year	Series	Make	Driver	Team	Schedule	Role
2013	NASCAR Camping World Truck Series	Toyota	Joey Coulter	Kyle Busch Motorsports	Limited	Primary Sponsor
2012	NASCAR Camping World Truck Series	Ford	Jason White	GB Racing	Full Season	Primary Sponsor
2011	NASCAR Camping World Truck Series	Chevrolet	Jason White	Joe Denette Motorsports	Full Season	Primary Sponsor
2010	NASCAR Camping World Truck Series	Ford	Jason White	SS-Green Light Racing	Full Season	Primary Sponsor
2009	NASCAR Camping World Truck Series	Dodge	Jason White	GunBroker Racing	Full Season	Primary Sponsor
2008	NASCAR Craftsman Truck Series	Dodge	Jason White	SS-Green Light Racing	Full Season	Primary Sponsor
2007	NASCAR Busch Series	Dodge	Jason White	GunBroker.com Racing	Limited	Primary Sponsor
2007	NASCAR Craftsman Truck Series	Chevrolet	Jason White	MB Motorsports	Daytona	Primary Sponsor
2007	NASCAR Craftsman Truck Series	Dodge	Jason White	Pennington Motorsports	Limited	Primary Sponsor
2006	NASCAR Busch Series	Dodge	Jason White	Ashton Gray Racing	Limited	Primary Sponsor
2005	NASCAR Busch Series	Chevrolet	Kevin Lepage	MacDonald Motorsports	Limited	Primary Sponsor
