Player	AFL debut	Games	Goals	Behinds	Kicks	Handballs	Disposals	Marks	Tackles
Gary Ablett, Jr. Category:Articles with hCards	2002	21	35	28	212	142	354	74	65
Nathan Ablett Category:Articles with hCards	2005	7	4	3	33	23	56	27	5
Jimmy Bartel Category:Articles with hCards	2002	21	15	12	297	187	484	139	79
Mark Blake Category:Articles with hCards	2005	8	0	0	12	45	57	16	9
Shannon Byrnes Category:Articles with hCards	2004	10	3	11	100	47	147	58	26
Tim Callan Category:Articles with hCards	2003	6	0	0	32	32	64	19	12
Paul Chapman Category:Articles with hCards	2000	22	31	19	331	153	484	134	89
Joel Corey Category:Articles with hCards	2000	22	8	4	298	231	529	107	64
Matthew Egan Category:Articles with hCards	2005	22	1	0	102	130	232	82	31
Corey Enright Category:Articles with hCards	2001	22	11	2	327	164	491	139	64
Ryan Gamble Category:Articles with hCards	2006	1	0	0	5	3	8	4	1
Charlie Gardiner Category:Articles with hCards	2002	5	4	2	45	30	75	25	13
Tom Harley Category:Articles with hCards	1998	13	0	0	88	71	159	60	18
Josh Hunt Category:Articles with hCards	2001	22	4	4	239	152	391	96	49
David Johnson Category:Articles with hCards	2002	17	5	1	152	69	221	80	34
Steve Johnson Category:Articles with hCards	2002	15	30	13	139	60	199	70	22
James Kelly Category:Articles with hCards	2002	15	7	2	134	119	253	48	40
Steven King Category:Articles with hCards	1996	16	1	1	116	97	213	67	23
Kent Kingsley Category:Articles with hCards	1999	9	10	8	46	20	66	36	8
Paul Koulouriotis Category:Articles with hCards	2000	1	0	0	5	9	14	2	3
Cameron Ling Category:Articles with hCards	2000	22	10	3	248	255	503	131	61
Tom Lonergan Category:Articles with hCards	2005	3	1	2	17	7	24	12	5
Andrew Mackie Category:Articles with hCards	2004	14	10	10	150	70	220	75	26
Matthew McCarthy Category:Articles with hCards	2003	4	6	1	22	7	29	17	5
Darren Milburn Category:Articles with hCards	1997	22	4	8	242	209	451	167	49
Cameron Mooney Category:Articles with hCards	1999	17	22	8	177	82	259	124	20
Brad Ottens Category:Articles with hCards	1998	22	26	20	139	104	243	104	45
Stephen Owen Category:Articles with hCards	—	—	—	—	—	—	—	—	—
Henry Playfair Category:Articles with hCards	2003	8	5	5	32	33	65	41	11
Brent Prismall Category:Articles with hCards	2006	8	4	2	72	34	106	30	11
Peter Riccardi Category:Articles with hCards	1992	6	3	2	50	21	71	20	10
Max Rooke Category:Articles with hCards	2002	17	8	1	114	121	235	62	55
Matthew Scarlett Category:Articles with hCards	1998	20	4	2	237	87	324	109	22
Matthew Spencer Category:Articles with hCards	2006	2	0	0	3	6	9	2	3
Mathew Stokes Category:Articles with hCards	2006	9	9	5	72	45	117	51	23
Kane Tenace Category:Articles with hCards	2004	14	3	1	150	51	201	47	23
Travis Varcoe Category:Articles with hCards	— [a ]	—	—	—	—	—	—	—	—
Trent West Category:Articles with hCards	— [b ]	—	—	—	—	—	—	—	—
David Wojcinski Category:Articles with hCards	1999	15	1	6	116	80	196	45	30
