Districts of Bihar	Total Population 2001	Male Population 2001	Female Population 2001	Growth Rate 1981-91	Growth Rate 1991-01	Sex Ratio ‡ 1991	Sex Ratio ‡ 2001	Population density † 1991	Population density † 2001
West Champaran	3043044	1600853	1442191	18.30	30.40	877	901	446	582
East Champaran	3933636	2072350	1861286	25.46	29.27	883	898	767	991
Sheohar	514288	271261	243027	27.34	36.16	876	896	853	1161
Sitamarhi	2669887	1410149	1259738	23.13	32.58	884	893	915	1214
Madhubani	3570651	1837361	1733290	21.76	26.08	932	943	809	1020
Supaul	1745069	908855	836214	23.45	29.95	904	920	557	724
Araria	2124831	1108924	1015907	26.69	31.84	907	916	569	751
Kishanganj	1294063	666910	627153	22.20	31.50	933	940	522	687
Purnia	2540788	1325794	1214994	23.76	35.23	903	916	582	787
Katihar	2389533	1244943	1144590	27.77	30.91	909	919	597	782
Madhepura	1524596	796272	728324	22.16	29.45	885	915	659	853
Saharsa	1506418	788585	717833	25.54	33.03	884	910	665	885
Darbhanga	3285473	1716640	1568833	25.04	30.85	911	914	1102	1442
Muzaffarpur	3743836	1941480	1802356	25.30	26.74	904	928	931	1180
Gopalganj	2149343	1072151	1077192	25.12	26.11	968	1005	838	1057
Siwan district	2708840	1332218	1376622	22.04	24.78	1017	1033	978	1221
Saran	3251474	1654428	1597046	23.44	26.37	963	965	974	1231
Vaishali	2712389	1412276	1300113	29.08	26.39	921	921	1054	1332
Samastipur	3413413	1771249	1642164	28.35	25.63	926	927	936	1175
Begusarai	2342989	1226057	1116932	24.61	29.11	898	911	946	1222
Khagaria	1276677	675501	601176	28.44	29.32	868	890	664	859
Bhagalpur	2430331	1294192	1136139	20.67	27.24	864	878	743	946
Banka	1608778	843061	765717	24.44	24.47	893	908	428	533
Munger	1135499	604662	530837	17.79	20.34	856	878	665	800
Lakhisarai	801173	416727	384446	21.08	23.94	880	923	526	652
Sheikhpura	525137	273468	251669	19.84	24.96	896	920	610	762
Nalanda	2368327	1236467	1131860	21.73	18.64	898	915	848	1006
Patna	4709851	2514949	2194902	19.84	30.17	867	873	1130	1471
Bhojpur	2233415	1175333	1058082	20.26	24.58	904	900	725	903
Buxar	1403462	738239	665223	18.63	29.03	884	901	670	864
Kaimur	1284575	673556	611019	24.20	30.64	884	907	292	382
Rohtas	2448762	1282655	1166107	21.77	27.71	894	909	498	636
Jehanabad	1511406	783960	727446	19.43	28.64	919	928	749	963
Aurangabad	2004960	1035757	969203	24.49	30.19	915	936	466	607
Gaya	3464983	1789231	1675752	23.92	30.03	922	937	536	696
Nawada	1809425	928638	880787	23.70	33.08	936	948	545	726
