Round	Pick	Player	Position	College
1	5	Elroy "Crazylegs" Hirsch	End	Michigan
2	16	Milan Lazetich	Tackle	Michigan
3	21	W.G. (Dub) Wooten	End	Oklahoma
4	32	Jack Zilly	End	Notre Dame
5	37	Roger Harding	Center	California
6	48	Jerry Cowhig	Back	Notre Dame
7	59	Fred Negus	Center	Wisconsin
8	70	Johnny August	Back	Alabama
9	81	Dick Huffman	Tackle	Tennessee
10	92	Vern Walters	Back	Alma
11	103	Tom Fears	End	UCLA
12	114	Joe Winkler	Center	Purdue
13	125	Jack Aland	Tackle	Alabama
14	136	Chuck Uknes	Back	Iowa
15	147	Bill Lund	Back	Case Western Reserve
16	158	Bob Barton	End	Holy Cross
17	169	Dick Hoerner	Back	Iowa
18	180	Lee Kennon	Tackle	Oklahoma
19	191	Eagle Matulich	Back	Mississippi State
20	202	Bill Griffin	Tackle	Kentucky
21	213	Leroy Erickson	Back	Oregon
22	224	Ray Evans	Tackle	Texas-El Paso
23	235	Luke Higgins	Tackle	Notre Dame
24	246	Stan Nowak	End	South Carolina
25	257	Gene Konopka	Guard	Villanova
26	268	Ray Florek	Back	Illinois
27	279	Russ Perry	Back	Wake Forest
28	290	Pat West	Back	USC
29	301	Bill Davis	Back	Oregon
30	312	Charley Compton	Tackle	Alabama
