Driver	Entrant	Constructor	Chassis	Engine	Tyre
Juan Manuel Fangio	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo 159 LBC 1.5 L8 s	P
Giuseppe Farina	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo 159 LBC 1.5 L8 s	P
Luigi Fagioli	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo 159 LBC 1.5 L8 s	P
Reg Parnell	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo 159 LBC 1.5 L8 s	P
David Murray	Scuderia Ambrosiana	Maserati	Maserati 4CLT-48	Maserati 4 CL 1.5 L4 s	D
David Hampshire	Scuderia Ambrosiana	Maserati	Maserati 4CLT-48	Maserati 4 CL 1.5 L4 s	D
Leslie Johnson	T.A.S.O. Mathieson	ERA	ERA E	ERA 1.5 L6 s	D
Peter Walker Tony Rolt	Peter Walker	ERA	ERA E	ERA 1.5 L6 s	D
Joe Fry Brian Shawe-Taylor	Joe Fry	Maserati	Maserati 4CL	Maserati 4 CL 1.5 L4 s	D
Cuth Harrison	Cuth Harrison	ERA	ERA B	ERA 1.5 L6 s	D
Bob Gerard	Bob Gerard	ERA	ERA B	ERA 1.5 L6 s	D
Yves Giraud-Cabantous	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C-DA	Talbot 23CV 4.5 L6	D
Louis Rosier	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C	Talbot 23CV 4.5 L6	D
Philippe Étancelin	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C	Talbot 23CV 4.5 L6	D
Eugène Martin	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C-DA	Talbot 23CV 4.5 L6	D
Johnny Claes	Ecurie Belge	Talbot-Lago	Talbot-Lago T26C	Talbot 23CV 4.5 L6	D
Louis Chiron	Officine Alfieri Maserati	Maserati	Maserati 4CLT-48	Maserati 4 CL 1.5 L4 s	P
Toulo de Graffenried	Enrico Platé	Maserati	Maserati 4CLT-48	Maserati 4 CL 1.5 L4 s	P
B. Bira	Enrico Platé	Maserati	Maserati 4CLT-48	Maserati 4 CL 1.5 L4 s	P
Felice Bonetto	Scuderia Milano	Maserati	Maserati 4CLT-50	Maserati 4 CL 1.5 L4 s	P
Joe Kelly	Joe Kelly	Alta	Alta GP	Alta 1.5 L4 s	D
Geoffrey Crossley	Geoffrey Crossley	Alta	Alta GP	Alta 1.5 L4 s	D
Raymond Mays	Raymond Mays	ERA	ERA D	ERA 1.5 L6 s	D
Sources:	Sources:	Sources:	Sources:	Sources:	Sources:
