Tie no	Home team	Score	Away team	Attendance
1	Hinckley United	1–1	Curzon Ashton	555
2	Kettering Town	3–0	Burton Albion	1,726
3	Tamworth	0–4	Barrow	1,012
4	King's Lynn	1–5	Kidderminster Harriers	1,460
5	Boston United	2–3	Cambridge United	1,956
6	Newcastle Blue Star	1–2	Altrincham	305
7	Droylsden	0–0	Belper Town	557
8	Durham City	2–2	Histon	257
9	Retford United	1–3	Alfreton Town	922
10	Northwich Victoria	0–3	AFC Telford United	1,003
11	Blyth Spartans	3–1	Sheffield	680
12	York City	0–0	Mansfield Town	1,976
13	Fleetwood Town	4–3	Nantwich Town	808
14	Wrexham	0–0	Eastwood Town	3,115
15	Stevenage Borough	2–2	Horsham	1,051
16	Woking	2–2	Ebbsfleet United	1,462
17	Hampton & Richmond Borough	0–1	Brackley Town	582
18	Oxford United	2–0	Hayes & Yeading United	2,521
19	Maidstone United	0–1	AFC Wimbledon	1,719
20	Team Bath	1–0	Salisbury City	649
21	Dorchester Town	1–0	Bishop's Stortford	433
22	Oxford City	0–1	Eastbourne Borough	564
23	Ashford Town (Middx)	0–0	Forest Green Rovers	337
24	Evesham United	2–0	Rushden & Diamonds	609
25	Bury Town	4–1	Basingstoke Town	1,121
26	Burgess Hill Town	0–3	Harlow Town	845
27	Grays Athletic	2–0	AFC Totton	590
28	Aylesbury United	0–1	Sutton United	554
29	Torquay United	4–1	Chipstead	1,800
30	Leiston	1–1	Lewes	847
31	Crawley Town	0–3	Havant & Waterlooville	1,253
32	Weymouth	1–2	AFC Hornchurch	904
