Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification	Team classification	Combativity award
1	Philippe Gilbert	Philippe Gilbert	Philippe Gilbert	Philippe Gilbert	Geraint Thomas	Omega Pharma-Lotto	Perrig Quemeneur
2	Garmin-Cervélo	Thor Hushovd	Philippe Gilbert	Philippe Gilbert	Geraint Thomas	Garmin-Cervélo	no award
3	Tyler Farrar	Thor Hushovd	José Joaquín Rojas	Philippe Gilbert	Geraint Thomas	Garmin-Cervélo	Mickaël Delage
4	Cadel Evans	Thor Hushovd	José Joaquín Rojas	Cadel Evans	Geraint Thomas	Garmin-Cervélo	Jérémy Roy
5	Mark Cavendish	Thor Hushovd	Philippe Gilbert	Cadel Evans	Geraint Thomas	Garmin-Cervélo	Iván Gutiérrez
6	Edvald Boasson Hagen	Thor Hushovd	Philippe Gilbert	Johnny Hoogerland	Geraint Thomas	Garmin-Cervélo	Adriano Malori
7	Mark Cavendish	Thor Hushovd	José Joaquín Rojas	Johnny Hoogerland	Robert Gesink	Garmin-Cervélo	Yannick Talabardon
8	Rui Costa	Thor Hushovd	Philippe Gilbert	Tejay van Garderen	Robert Gesink	Garmin-Cervélo	Tejay van Garderen
9	Luis León Sánchez	Thomas Voeckler	Philippe Gilbert	Johnny Hoogerland	Robert Gesink	Team Europcar	Flecha and Hoogerland
10	André Greipel	Thomas Voeckler	Philippe Gilbert	Johnny Hoogerland	Robert Gesink	Team Europcar	Marco Marcato
11	Mark Cavendish	Thomas Voeckler	Mark Cavendish	Johnny Hoogerland	Robert Gesink	Team Europcar	Mickaël Delage
12	Samuel Sánchez	Thomas Voeckler	Mark Cavendish	Samuel Sánchez	Arnold Jeannesson	Leopard Trek	Geraint Thomas
13	Thor Hushovd	Thomas Voeckler	Mark Cavendish	Jérémy Roy	Arnold Jeannesson	Garmin-Cervélo	Jérémy Roy
14	Jelle Vanendert	Thomas Voeckler	Mark Cavendish	Jelle Vanendert	Rigoberto Urán	Leopard Trek	Sandy Casar
15	Mark Cavendish	Thomas Voeckler	Mark Cavendish	Jelle Vanendert	Rigoberto Urán	Leopard Trek	Niki Terpstra
16	Thor Hushovd	Thomas Voeckler	Mark Cavendish	Jelle Vanendert	Rigoberto Urán	Garmin-Cervélo	Mikhail Ignatiev
17	Edvald Boasson Hagen	Thomas Voeckler	Mark Cavendish	Jelle Vanendert	Rigoberto Urán	Garmin-Cervélo	Rubén Pérez
18	Andy Schleck	Thomas Voeckler	Mark Cavendish	Jelle Vanendert	Rein Taaramäe	Garmin-Cervélo	Andy Schleck
19	Pierre Rolland	Andy Schleck	Mark Cavendish	Samuel Sánchez	Pierre Rolland	Garmin-Cervélo	Alberto Contador
20	Tony Martin	Cadel Evans	Mark Cavendish	Samuel Sánchez	Pierre Rolland	Garmin-Cervélo	no award
21	Mark Cavendish	Cadel Evans	Mark Cavendish	Samuel Sánchez	Pierre Rolland	Garmin-Cervélo	no award
