District	Incumbent	Party	First elected	Results	Candidates
Texas 1	Max Sandlin	Democratic	1996	Re-elected	Max Sandlin (D) 56% Noble Willingham (R) 44%
Texas 2	Jim Turner	Democratic	1996	Re-elected	Jim Turner (D) 92%
Texas 3	Sam Johnson	Republican	1991	Re-elected	Sam Johnson (R) 72% Billy Wayne Zachary (D) 26%
Texas 4	Ralph Hall	Democratic	1980	Re-elected	Ralph Hall (D) 61% Jon Newton (R) 38%
Texas 6	Joe Barton	Republican	1984	Re-elected	Joe Barton (R) 89%
Texas 7	Bill Archer	Republican	1970	Retired Republican hold	John Culberson (R) 74% Jeff Sell (D) 25%
Texas 8	Kevin Brady	Republican	1996	Re-elected	Kevin Brady (R) 92%
Texas 9	Nick Lampson	Democratic	1996	Re-elected	Nick Lampson (D) 60% Paul Williams (R) 40%
Texas 10	Lloyd Doggett	Democratic	1994	Re-elected	Lloyd Doggett (D) 85%
Texas 11	Chet Edwards	Democratic	1990	Re-elected	Chet Edwards (D) 55% Ramsey Farley (R) 45%
Texas 12	Kay Granger	Republican	1996	Re-elected	Kay Granger (R) 63% Mark Greene (D) 36%
Texas 13	Mac Thornberry	Republican	1994	Re-elected	Mac Thornberry (R) 68% Curtis Clinesmith (D) 32%
Texas 14	Ron Paul	Republican	1996	Re-elected	Ron Paul (R) 60% Loy Sneary (D) 40%
Texas 15	Ruben Hinojosa	Democratic	1996	Re-elected	Ruben Hinojosa (D) 89% Frank Jones (I) 11%
Texas 16	Silvestre Reyes	Democratic	1996	Re-elected	Silvestre Reyes (D) 69% Daniel Power (R) 31%
Texas 17	Charles Stenholm	Democratic	1978	Re-elected	Charles Stenholm (D) 60% Darrell Clements (R) 36%
Texas 18	Sheila Jackson Lee	Democratic	1994	Re-elected	Sheila Jackson Lee (D) 77% Bob Levy (R) 23%
Texas 19	Larry Combest	Republican	1984	Re-elected	Larry Combest (R) 92%
Texas 20	Charlie Gonzalez	Democratic	1998	Re-elected	Charlie Gonzalez (D) 88% Alejandro De Pena (I) 12%
Texas 21	Lamar S. Smith	Republican	1986	Re-elected	Lamar S. Smith (R) 61% Joann Matranga (D) 37%
Texas 22	Tom DeLay	Republican	1984	Re-elected	Tom DeLay (R) 66% Hill Kemp (D) 34%
Texas 23	Henry Bonilla	Republican	1992	Re-elected	Henry Bonilla (R) 60% Isidro Garza (D) 39%
Texas 24	Martin Frost	Democratic	1978	Re-elected	Martin Frost (D) 62% Bryndan Wright (R) 37%
Texas 25	Ken Bentsen	Democratic	1994	Re-elected	Ken Bentsen (D) 60% Phil Sudan (R) 39%
Texas 26	Dick Armey	Republican	1984	Re-elected	Dick Armey (R) 73% Steve Love (D) 26%
Texas 27	Solomon Ortiz	Democratic	1982	Re-elected	Solomon Ortiz (D) 64% Pat Ahumada (R) 34%
Texas 28	Ciro Rodriguez	Democratic	1997	Re-elected	Ciro Rodriguez (D) 89% William Stallknecht (I) 11%
Texas 29	Gene Green	Democratic	1992	Re-elected	Gene Green (D) 74% Joe Vu (R) 26%
