Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 13, 1964	at Minnesota Vikings	L 24–34	0–1	Metropolitan Stadium	35563
2	September 20, 1964	at Green Bay Packers	W 21–20	1–1	Lambeau Field	42327
3	September 27, 1964	Chicago Bears	W 52–0	2–1	Memorial Stadium	56537
4	October 4, 1964	Los Angeles Rams	W 35–20	3–1	Memorial Stadium	56537
5	October 12, 1964	St. Louis Cardinals	W 47–27	4–1	Memorial Stadium	60213
6	October 18, 1964	Green Bay Packers	W 24–21	5–1	Memorial Stadium	60213
7	October 25, 1964	at Detroit Lions	W 34–0	6–1	Tiger Stadium	57814
8	November 1, 1964	San Francisco 49ers	W 37–7	7–1	Memorial Stadium	60213
9	November 8, 1964	at Chicago Bears	W 40–24	8–1	Wrigley Field	47891
10	November 15, 1964	Minnesota Vikings	W 17–14	9–1	Memorial Stadium	60213
11	November 22, 1964	at Los Angeles Rams	W 24–7	10–1	Los Angeles Memorial Coliseum	72137
12	November 29, 1964	at San Francisco 49ers	W 14–3	11–1	Kezar Stadium	33642
13	December 6, 1964	Detroit Lions	L 14–31	11–2	Memorial Stadium	60213
