No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
92	1	"Tragedy"	David Platt	Amanda Green	September 23, 2003	E4403	13.23
93	2	"Manic"	Guy Norman Bee	Patrick Harbinson	September 30, 2003	E4401	11.50
94	3	"Mother"	Ted Kotcheff	Lisa Marie Petersen & Dawn DeNoon	October 7, 2003	E4404	9.90
95	4	"Loss"	Constantine Makris	Michele Fazekas & Tara Butters	October 14, 2003	E4402	12.65
96	5	"Serendipity"	Constantine Makris	Lisa Marie Petersen & Dawn DeNoon	October 21, 2003	E4408	11.80
97	6	"Coerced"	Jean de Segonzac	Jonathan Greene	October 28, 2003	E4409	12.10
98	7	"Choice"	David Platt	Patrick Harbinson	November 4, 2003	E4411	13.20
99	8	"Abomination"	Alex Zakrzewski	Michele Fazekas & Tara Butters	November 11, 2003	E4410	12.99
100	9	"Control"	Ted Kotcheff	Teleplay: Neal Baer Story: Dick Wolf	November 18, 2003	E4413	13.94
101	10	"Shaken"	Constantine Makris	Amanda Green	November 25, 2003	E4414	13.14
102	11	"Escape"	Jean de Segonzac	Barbie Kligman	December 2, 2003	E4415	13.65
103	12	"Brotherhood"	Jean de Segonzac	José Molina	January 6, 2004	E4412	15.40
104	13	"Hate"	David Platt	Robert Nathan	January 13, 2004	E4416	14.00
105	14	"Ritual"	Ed Bianchi	Ruth Fletcher & Christos N. Gage	February 3, 2004	E4406	13.81
106	15	"Families"	Constantine Makris	Jonathan Greene	February 10, 2004	E4419	12.89
107	16	"Home"	Rick Wallace	Amanda Green	February 17, 2004	E4420	14.37
108	17	"Mean"	Constantine Makris	Michele Fazekas & Tara Butters	February 24, 2004	E4421	14.42
109	18	"Careless"	Steve Shill	Patrick Harbinson	March 2, 2004	E4422	12.50
110	19	"Sick"	David Platt	Dawn DeNoon	March 30, 2004	E4423	15.55
111	20	"Lowdown"	Jud Taylor	Robert Nathan	April 6, 2004	E4424	12.60
112	21	"Criminal"	Alex Zakrzewski	José Molina	April 20, 2004	E4425	12.82
113	22	"Painless"	Juan J. Campanella	Jonathan Greene	April 27, 2004	E4426	12.78
114	23	"Bound"	Constantine Makris	Barbie Kligman	May 4, 2004	E4427	13.04
115	24	"Poison"	David Platt	Michele Fazekas & Tara Butters	May 11, 2004	E4428	12.28
