Year	Entrant	Chassis	Engine	Points
1981	Candy Toleman Motorsport	Toleman TG181	Hart 415T 1.5 L4 t	0
1982	Candy Toleman Motorsport	Toleman TG181C	Hart 415T 1.5 L4 t	0
1982	Candy Toleman Motorsport	Toleman TG183	Hart 415T 1.5 L4 t	0
1983	Candy Toleman Motorsport	Toleman TG183B	Hart 415T 1.5 L4 t	9
1984	Equipe Renault Elf	Renault RE50	Renault EF4 1.5 V6 t	23
1985	Equipe Renault Elf	Renault RE60	Renault EF4B 1.5 V6 t	5
1985	Equipe Renault Elf	Renault RE60B	Renault EF15 1.5 V6 t	5
1986	Motor Racing Developments	Brabham BT55	BMW M12 /13/1 1.5 L4 t	0
1987	USF&G Arrows Megatron	Arrows A10	Megatron M12/13 1.5 L4 t	3
1988	USF&G Arrows Megatron	Arrows A10B	Megatron M12/13 1.5 L4 t	17
1989	USF&G Arrows	Arrows A11	Ford Cosworth DFR 3.5 V8	7
1990	Camel Team Lotus	Lotus 102	Lamborghini 3512 3.5 V12	3
1993	Footwork Mugen-Honda	Footwork FA13B	Mugen-Honda MF-351 HB 3.5 V10	4
1993	Footwork Mugen-Honda	Footwork FA14	Mugen-Honda MF-351 HB 3.5 V10	4
