Rank	Nation	Gold	Silver	Bronze	Total
1	Soviet Union	253	93	69	415
2	Japan	95	59	65	219
3	Russia	80	51	70	201
4	Bulgaria	61	90	93	244
5	Iran	57	47	48	152
6	United States	52	83	78	213
7	Turkey	45	47	58	150
8	Sweden	32	36	42	110
9	Hungary	27	46	41	114
10	Germany	27	37	56	120
11	Cuba	26	25	38	89
12	France	25	21	21	67
13	China	25	16	20	61
14	Finland	21	25	25	71
15	Romania	15	30	34	79
16	Poland	14	35	30	79
17	Ukraine	14	14	35	63
18	South Korea	13	22	22	57
19	Canada	12	17	22	51
20	Norway	12	16	25	53
21	Austria	11	9	7	27
22	Azerbaijan	9	16	16	41
23	East Germany	8	23	23	54
24	North Korea	8	5	4	17
25	Georgia	7	10	18	35
26	Armenia	7	8	9	24
27	Uzbekistan	6	6	13	25
28	Serbia	5	19	18	42
29	Belarus	5	11	17	33
30	Kazakhstan	5	10	19	34
31	Mongolia	4	17	24	45
32	Denmark	4	6	10	20
33	Czech Republic	3	8	16	27
34	Venezuela	3	4	5	12
35	Egypt	3	2	4	9
36	Italy	1	7	11	19
37	Chinese Taipei	1	5	6	12
38	Moldova	1	4	0	5
39	Greece	1	3	10	14
40	India	1	2	7	10
41	Estonia	1	2	0	3
42	Israel	1	1	4	6
43	Belgium	1	0	1	2
44	Kyrgyzstan	0	1	5	6
45	Netherlands	0	1	2	3
46	Lebanon	0	1	1	2
46	Lithuania	0	1	1	2
46	Puerto Rico	0	1	1	2
49	Latvia	0	1	0	1
49	Macedonia	0	1	0	1
49	Tajikistan	0	1	0	1
49	Turkmenistan	0	1	0	1
53	Croatia	0	0	2	2
53	Nigeria	0	0	2	2
53	Pakistan	0	0	2	2
53	Spain	0	0	2	2
53	Switzerland	0	0	2	2
58	Albania	0	0	1	1
58	Argentina	0	0	1	1
58	Great Britain	0	0	1	1
58	Slovakia	0	0	1	1
58	Syria	0	0	1	1
Total	Total	1002	997	1159	3158
