Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
1	November 2	@ Memphis	W 97–78 (OT)	Antoine Walker (25)	Antoine Walker (16)	Dwyane Wade (6)	FedEx Forum	1-0
2	November 3	Indiana	L 102–105 (OT)	Dwyane Wade (31)	Udonis Haslem (8)	Dwyane Wade (10)	American Airlines Arena	1-1
3	November 5	@ Millwaukee	L 100–105 (OT)	Dwyane Wade (21)	Alonzo Mourning (12)	Dwyane Wade (9)	Bradley Center	1-2
4	November 7	New Jersey	W 90–89 (OT)	Dwyane Wade (23)	Alonzo Mourning (11)	Dwyane Wade (6)	American Airlines Arena	2-2
5	November 9	@ Indiana	L 90–95 (OT)	Dwyane Wade (29)	Dwyane Wade , Udonis Haslem (11)	Dwyane Wade (6)	Conseco Fieldhouse	2-3
6	November 10	Houston	W 88–84 (OT)	Dwyane Wade (25)	Alonzo Mourning (9)	Dwyane Wade (7)	American Airlines Arena	3-3
7	November 12	Charlotte	W 108–99 (OT)	Jason Williams (22)	Udonis Haslem (11)	Jason Williams , Dwyane Wade (7)	American Airlines Arena	4-3
8	November 15	New Orleans/Oklahoma City	W 109–102 (OT)	Dwyane Wade (25)	Alonzo Mourning (11)	Dwyane Wade (10)	American Airlines Arena	5-3
9	November 18	Philadelphia	W 106–96 (OT)	Dwyane Wade (32)	Udonis Haslem (12)	Dwyane Wade (10)	American Airlines Arena	6-3
10	November 20	@ Toronto	L 94–107 (OT)	Dwyane Wade (33)	Dwyane Wade (8)	Dwyane Wade (9)	Air Canada Centre	6-4
11	November 23	Portland	W 100–79 (OT)	Dwyane Wade (19)	Dwyane Wade (11)	Dwyane Wade , Jason Williams , Antoine Walker (4)	American Airlines Arena	7-4
12	November 25	Dallas	L 90–103 (OT)	Jason Williams (24)	Udonis Haslem (8)	Jason Williams (5)	American Airlines Arena	7-5
13	November 26	@ Orlando	L 77–80 (OT)	Dwyane Wade (21)	Alonzo Mourning (21)	Dwyane Wade (4)	TD Waterhouse Centre	7-6
14	November 28	New York	W 107–94 (OT)	Dwyane Wade (33)	Udonis Haslem (12)	Jason Williams (6)	American Airlines Arena	8-6
