Rank	Rider	Team	Speed	Time
1	Ryan Kneen	600cc Suzuki	103.973mph	43' 32.37
2	Ivan Lintin	750cc Suzuki	103.144mph	43' 53.67
3	James Redpath	750cc Suzuki	102.073mph	44' 21.39
4	Kevin Fitzpatrick	750cc Suzuki	101.059mph	44' 48.09
5	James Shipley	599cc Yamaha	97.386mph	46' 29.26
6	Damien Gledhill	600cc Kawasaki	97.201mph	46' 34.79
7	Declan Duffy	600cc Yamaha	97.016mph	46' 40.12
8	Derek Jackson	600cc Honda	94.546mph	47' 53.28
9	John Hildreth	600cc Honda	92.687mph	48' 50.90
10	Adam Jones	599cc Kawasaki	92.393mph	49' 00.21
