Round	Date	Home	Result	Visitor	Venue	Attendance
18	Saturday, November 1	Luleå HF	5–1	Timrå IK	COOP Arena	4,650
18	Saturday, November 1	Djurgårdens IF	3–6	Frölunda HC	Hovet	6,345
18	Saturday, November 1	HV71	4–3	Färjestads BK	Kinnarps Arena	7,038
18	Saturday, November 1	Södertälje SK	4–1	Brynäs IF	AXA Sports Center	4,682
18	Saturday, November 1	Modo Hockey	2–3	Rögle BK	Swedbank Arena	6,962
19	Monday, November 3	Timrå IK	2–3	Linköpings HC	E.ON Arena	4,817
19	Monday, November 3	Modo Hockey	4–3	Djurgårdens IF	Swedbank Arena	5,444
19	Monday, November 3	Brynäs IF	4–3 (OT)	HV71	Läkerol Arena	4,408
19	Monday, November 3	Skellefteå AIK	1–3	Frölunda HC	Skellefteå Kraft Arena	5,252
19	Monday, November 3	Färjestads BK	2–2	Södertälje SK	Löfbergs Lila Arena	6,100
19	Monday, November 3	Rögle BK	3–5	Luleå HF	Lindab Arena	4,920
18	Monday, November 10	Linköpings HC	5–3	Skellefteå AIK	Cloetta Center	6,168
31	Tuesday, November 11	Djurgårdens IF	7–0	Modo Hockey	Hovet	5,793
20	Thursday, November 13	Linköpings HC	3–1	Brynäs IF	Cloetta Center	8,237
20	Thursday, November 13	Frölunda HC	0–2	Timrå IK	Scandinavium	11,020
20	Thursday, November 13	Färjestads BK	5–2	Skellefteå AIK	Löfbergs Lila Arena	5,488
20	Thursday, November 13	Södertälje SK	3–2	Rögle BK	AXA Sports Center	3,895
20	Thursday, November 13	Luleå HF	3–2	Modo Hockey	COOP Arena	4,958
21	Saturday, November 15	Rögle BK	1–2	HV71	Lindab Arena	5,043
21	Saturday, November 15	Brynäs IF	2–1	Frölunda HC	Läkerol Arena	7,974
21	Saturday, November 15	Timrå IK	2–0	Södertälje SK	E.ON Arena	5,332
21	Saturday, November 15	Färjestads BK	5–2	Modo Hockey	Löfbergs Lila Arena	7,213
21	Saturday, November 15	Skellefteå AIK	2–2	Djurgårdens IF	Skellefteå Kraft Arena	5,636
21	Saturday, November 15	Luleå HF	3–1	Linköpings HC	COOP Arena	4,964
22	Monday, November 17	Frölunda HC	3–2	Södertälje SK	Scandinavium	11,248
22	Monday, November 17	Linköpings HC	3–1	Rögle BK	Cloetta Center	6,565
22	Monday, November 17	Modo Hockey	0–6	Skellefteå AIK	Swedbank Arena	7,539
22	Tuesday, November 18	HV71	1–1	Luleå HF	Kinnarps Arena	7,013
22	Tuesday, November 18	Färjestads BK	2–0	Timrå IK	Löfbergs Lila Arena	5,186
22	Tuesday, November 18	Djurgårdens IF	2–4	Brynäs IF	Hovet	7,131
23	Thursday, November 20	Rögle BK	3–0	Modo Hockey	Lindab Arena	4,384
23	Thursday, November 20	Djurgårdens IF	1–4	Frölunda HC	Hovet	4,227
23	Thursday, November 20	Brynäs IF	2–2	Färjestads BK	Läkerol Arena	5,521
23	Thursday, November 20	Timrå IK	3–2 (OT)	Luleå HF	E.ON Arena	5,140
23	Thursday, November 20	Skellefteå AIK	2–4	Linköpings HC	Skellefteå Kraft Arena	5,277
23	Thursday, November 20	Södertälje SK	2–3 (OT)	HV71	AXA Sports Center	3,526
24	Saturday, November 22	Linköpings HC	2–6	Timrå IK	Cloetta Center	7,632
24	Saturday, November 22	HV71	3–4 (OT)	Skellefteå AIK	Kinnarps Arena	6,951
24	Saturday, November 22	Färjestads BK	0–2	Frölunda HC	Löfbergs Lila Arena	8,250
24	Saturday, November 22	Rögle BK	4–3	Djurgårdens IF	Lindab Arena	4,675
24	Saturday, November 22	Luleå HF	3–3	Brynäs IF	COOP Arena	5,105
24	Saturday, November 22	Modo Hockey	3–0	Södertälje SK	Swedbank Arena	5,971
25	Monday, November 24	Brynäs IF	1–0	Södertälje SK	Löfbergs Lila Arena	3,978
25	Monday, November 24	Djurgårdens IF	4–2	Timrå IK	Hovet	3,319
25	Monday, November 24	Luleå HF	1–1	HV71	COOP Arena	4,378
25	Tuesday, November 25	Frölunda HC	5–0	Rögle BK	Scandinavium	11,011
25	Tuesday, November 25	Skellefteå AIK	3–2 (OT)	Färjestads BK	Skellefteå Kraft Arena	4,531
25	Tuesday, November 25	Linköpings HC	1–5	Modo Hockey	Cloetta Center	6,889
26	Thursday, November 27	HV71	2–3 (OT)	Frölunda HC	Kinnarps Arena	7,038
26	Thursday, November 27	Modo Hockey	3–7	Luleå HF	Swedbank Arena	6,151
26	Thursday, November 27	Timrå IK	4–3	Skellefteå AIK	E.ON Arena	5,396
26	Thursday, November 27	Rögle BK	4–3	Brynäs IF	Lindab Arena	4,744
26	Thursday, November 27	Södertälje SK	4–1	Djurgårdens IF	AXA Sports Center	3,926
26	Thursday, November 27	Färjestads BK	4–1	Linköpings HC	Löfbergs Lila Arena	5,482
27	Saturday, November 29	Modo Hockey	3–4	Färjestads BK	Swedbank Arena	7,029
27	Saturday, November 29	Djurgårdens IF	1–5	HV71	Hovet	6,092
27	Saturday, November 29	Brynäs IF	2–1	Timrå IK	Läkerol Arena	7,066
27	Saturday, November 29	Luleå HF	5–3	Rögle BK	COOP Arena	5,191
27	Saturday, November 29	Skellefteå AIK	4–3	Södertälje SK	Skellefteå Kraft Arena	5,163
27	Sunday, November 30	Frölunda HC	0–5	Linköpings HC	Scandinavium	11,061
