Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	9	4	2	15
2	Turkey	6	1	4	11
3	Iran	2	5	2	9
4	Japan	2	0	5	7
5	Kazakhstan	1	2	1	4
6	Azerbaijan	1	1	3	5
7	Kyrgyzstan	1	1	0	2
8	United States	1	0	6	7
9	Bulgaria	1	0	1	2
10	Cuba	0	2	1	3
11	Ukraine	0	1	4	5
12	Georgia	0	1	3	4
12	Mongolia	0	1	3	4
12	Sweden	0	1	3	4
15	Belarus	0	1	1	2
16	Poland	0	1	0	1
16	Serbia	0	1	0	1
16	Spain	0	1	0	1
19	India	0	0	2	2
19	Romania	0	0	2	2
19	Uzbekistan	0	0	2	2
22	Germany	0	0	1	1
22	Moldova	0	0	1	1
22	South Korea	0	0	1	1
Total	Total	24	24	48	96
