No.	#	Title	Directed by	Written by	U.S. air date	Production code	U.S. viewers (million)
67	1	" Crusade"	Greg Beeman	Alfred Gough & Miles Millar	September22,2004	2T5201	6.07
68	2	" Gone"	James Marshall	Kelly Souders & Brian Peterson	September29,2004	2T5202	5.66
69	3	" Façade"	Pat Williams	Holly Harold	October6,2004	2T5203	5.45
70	4	" Devoted"	David Carson	Luke Schelhaas	October13,2004	2T5204	6.20
71	5	" Run"	David Barrett	Steven S. DeKnight	October20,2004	2T5205	5.41
72	6	" Transference"	James Marshall	Todd Slavkin & Darren Swimmer	October27,2004	2T5206	5.69
73	7	" Jinx"	Paul Shapiro	Mark Warshaw	November3,2004	2T5207	5.02
74	8	" Spell"	Jeannot Szwarc	Steven S. DeKnight	November10,2004	2T5208	5.51
75	9	" Bound"	Terrence O'Hara	Luke Schelhaas	November17,2004	2T5209	5.06
76	10	" Scare"	David Carson	Kelly Souders & Brian Peterson	December1,2004	2T5210	4.89
77	11	" Unsafe"	Greg Beeman	Steven S. DeKnight & Jeph Loeb	January26,2005	2T5211	4.21
78	12	" Pariah"	Paul Shapiro	Holly Harold	February2,2005	2T5212	4.78
79	13	" Recruit"	Jeannot Szwarc	Todd Slavkin & Darren Swimmer	February9,2005	2T5213	4.91
80	14	" Krypto"	James Marshall	Luke Schelhaas	February16,2005	2T5214	5.08
81	15	" Sacred"	Brad Turner	Kelly Souders & Brian Peterson	February23,2005	2T5215	5.26
82	16	" Lucy"	David Barrett	Neil Sadhu & Daniel Sulzberg	March2,2005	2T5216	4.51
83	17	" Onyx"	Terrence O'Hara	Steven S. DeKnight	April13,2005	2T5217	3.85
84	18	" Spirit"	Whitney Ransick	Luke Schelhaas	April20,2005	2T5218	4.39
85	19	" Blank"	Jeannot Szwarc	Kelly Souders & Brian Peterson	April27,2005	2T5219	4.59
86	20	" Ageless"	Steven S. DeKnight	Steven S. DeKnight	May4,2005	2T5220	4.51
87	21	" Forever"	James Marshall	Brian Peterson & Kelly Souders	May11,2005	2T5221	3.96
