Character	Australia & New Zealand (Sydney - first run, Melbourne, Auckland)	London	Toronto / Broadway	Brazil	UK Tour	US Tour	Italy (Milan, Rome, Trieste)
Tick (Mitzi)	Jeremy Stanford	Jason Donovan	Will Swenson	Luciano Andrey	Jason Donovan , Noel Sullivan	Wade McCollum	Antonello Angiolillo
Bernadette	Tony Sheldon	Tony Sheldon	Tony Sheldon	Ruben Gabira	Richard Grieve	Scott Willis	Simone Leonardi
Adam (Felicia)	Daniel Scott	Oliver Thornton	Nick Adams	André Torquato	Graham Weaver	Bryan West	Mirko Ranù
Bob	Michael Caton	Clive Carter	C. David Johnson	Saulo Vasconcelos	Giles Watling	Joe Hart	Maurizio Arena, Nicola Ciulla (in Trieste)
Marion	Marney McQueen	Amy Field, Yvette Robinson*	Jessica Phillips	Naíma	Julie Stark	Christy Faber	Alice Mistroni, Valeria Belleudi
Shirley	Genevieve Lemon	Daniele Coombe	Keala Settle	Andrezza Massei	Ellie Leah	Babs Rubenstein	Elisa Musso
Cynthia	Lena Cruz	Kanako Nakano	J. Elaine Marcos	Lissah Martins	Frances Mayli McCann	Chelsea Zeno	Giada D'Auria
Miss Understanding	Trevor Ashley	Wesley Sebastian	Nathan Lee Graham	Leandro Luna	Alan Hunter	Nik Alexzander	Andrea Verzicco, Andrea Rossi
Jimmy	Kirk Page	Tristan Temple	James Brown III	Marcelo Vasquez	n/a	Taurean Everett	Cesar Josè Piombo, Pedro Gonzalez
Frank	Ben Lewis	John Brannoch	Mike McGowan	Beto Marque	Leon Kay	David Koch	Gianluca Briganti
