Date	Visitor	Score	Home	Leading scorer	Record
2 November 2005	Hornets	87–109	Cavaliers	LeBron James (31)	1–0
4 November 2005	Cavaliers	76–102	Spurs	LeBron James (20)	1–1
5 November 2005	Cavaliers	106–113	Grizzlies	LeBron James (36)	1–2
7 November 2005	Cavaliers	105–93	Raptors	LeBron James (27)	2–2
9 November 2005	SuperSonics	85–112	Cavaliers	LeBron James (31)	3–2
11 November 2005	Grizzlies	70–89	Cavaliers	LeBron James (16)	4–2
13 November 2005	Cavaliers	108–100	Magic	LeBron James (26)	5–2
15 November 2005	Wizards	99–114	Cavaliers	LeBron James (37)	6–2
18 November 2005	Magic	84–102	Cavaliers	Zydrunas Ilgauskas (22)	7–2
19 November 2005	Cavaliers	123–120	Sixers	Larry Hughes (37)	8–2
22 November 2005	Celtics	93–115	Cavaliers	LeBron James (36)	9–2
24 November 2005	Cavaliers	76–98	Pacers	LeBron James (19)	9–3
26 November 2005	Timberwolves	89–85	Cavaliers	LeBron James (38)	9–4
30 November 2005	Clippers	105–112	Cavaliers	Zydrunas Ilgauskas (29)	10–4
