Week	Date	Opponent	Result	Channel	Stadium	Attendance
1	September 5, 2002	San Francisco 49ers	L 16–13	ESPN	Giants Stadium	78,748
2	September 15, 2002	at St. Louis Rams	W 26–21	FOX	Edward Jones Dome	65,932
3	September 22, 2002	Seattle Seahawks	W 9–6	FOX	Giants Stadium	78,551
4	September 29, 2002	at Arizona Cardinals	L 21–7	FOX	Sun Devil Stadium	30,014
5	October 6, 2002	at Dallas Cowboys	W 21–17	FOX	Texas Stadium	63,447
6	October 13, 2002	Atlanta Falcons	L 17–10	FOX	Giants Stadium	78,728
7	Bye	Bye	Bye	Bye	Bye	Bye
8	October 28, 2002	at Philadelphia Eagles	L 17–3	ABC	Veterans Stadium	65,791
9	November 3, 2002	Jacksonville Jaguars	W 24–17	ESPN	Giants Stadium	78,337
10	November 10, 2002	at Minnesota Vikings	W 27–20	FOX	Hubert H. Humphrey Metrodome	64,005
11	November 17, 2002	Washington Redskins	W 19–17	FOX	Giants Stadium	78,727
12	November 24, 2002	at Houston Texans	L 16–14	FOX	Reliant Stadium	70,054
13	December 1, 2002	Tennessee Titans	L 32–29	CBS	Giants Stadium	78,640
14	December 8, 2002	at Washington Redskins	W 27–21	FOX	FedExField	78,635
15	December 15, 2002	Dallas Cowboys	W 37–7	FOX	Giants Stadium	78,698
16	December 22, 2002	at Indianapolis Colts	W 44–27	FOX	RCA Dome	56,579
17	December 28, 2002	Philadelphia Eagles	W 10–7	FOX	Giants Stadium	78,782
