Place	Player	Country	Score	To par
1	Tze-Chung Chen	Taiwan	65-69-69=203	–7
2	Andy North	United States	70-65-70=205	–5
3	Dave Barr	Canada	70-68-70=208	–2
4	Rick Fehr	United States	69-67-73=209	–1
T5	Seve Ballesteros	Spain	71-70-69=210	E
T5	Tom Kite	United States	69-70-71=210	E
T5	Denis Watson	Zimbabwe	72-65-73=210	E
T8	Payne Stewart	United States	70-70-71=211	+1
T8	Lanny Wadkins	United States	70-72-69=211	+1
T10	Raymond Floyd	United States	72-67-73=212	+2
T10	Jay Haas	United States	69-66-77=212	+2
T10	Fuzzy Zoeller	United States	71-69-72=212	+2
