Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
32	January 2	@ Phoenix	L 98–106 (OT)	Eric Gordon (21)	Marcus Camby (23)	Fred Jones , Marcus Camby (4)	US Airways Center 18,422	8–24
33	January 4	Detroit	L 87–88 (OT)	Eric Gordon (31)	Marcus Camby (20)	Mardy Collins (12)	Staples Center 17,968	8–25
34	January 6	@ Dallas	L 102–107 (OT)	Eric Gordon (32)	Marcus Camby (19)	Eric Gordon (6)	American Airlines Center 19,794	8–26
35	January 8	@ San Antonio	L 84–106 (OT)	Al Thornton , Eric Gordon (21)	Marcus Camby (9)	Jason Hart (4)	AT&T Center 17,873	8–27
36	January 9	@ New Orleans	L 80–107 (OT)	Eric Gordon , Mardy Collins (15)	Marcus Camby (17)	Mardy Collins (6)	New Orleans Arena 17,815	8–28
37	January 11	Phoenix	L 103–109 (OT)	Al Thornton (23)	Marcus Camby (18)	Fred Jones (10)	Staples Center 17,307	8–29
38	January 14	Atlanta	L 80–97 (OT)	Al Thornton (25)	Marcus Camby (18)	Mardy Collins (8)	Staples Center 15,901	8–30
39	January 17	Milwaukee	W 101–92 (OT)	Brian Skinner , Marcus Camby (18)	Marcus Camby (11)	Mardy Collins (11)	Staples Center 16,448	9–30
40	January 19	Minnesota	L 86–94 (OT)	Eric Gordon (25)	DeAndre Jordan (10)	Mardy Collins (8)	Staples Center 14,399	9–31
41	January 21	L.A. Lakers	L 97–108 (OT)	DeAndre Jordan (23)	DeAndre Jordan (12)	Eric Gordon (6)	Staples Center 19,627	9–32
42	January 23	Oklahoma City	W 107–104 (OT)	Eric Gordon (41)	Cheikh Samb (8)	Ricky Davis (11)	Staples Center 14,913	10–32
43	January 25	@ Golden State	L 92–107 (OT)	Eric Gordon (21)	DeAndre Jordan (20)	Ricky Davis (7)	Oracle Arena 17,746	10–33
44	January 26	Portland	L 88–113 (OT)	Al Thornton (23)	Brian Skinner (10)	Fred Jones , Eric Gordon (7)	Staples Center 16,570	10–34
45	January 28	Chicago	L 75–95 (OT)	Eric Gordon (19)	Al Thornton , DeAndre Jordan , Marcus Camby (6)	Eric Gordon (7)	Staples Center 15,637	10–35
46	January 30	@ Cleveland	L 95–112 (OT)	Eric Gordon (27)	Eric Gordon , Baron Davis (7)	Fred Jones (9)	Quicken Loans Arena 20,562	10–36
47	January 31	@ Washington	L 94–106 (OT)	Eric Gordon (25)	Brian Skinner (10)	Baron Davis , Fred Jones (6)	Verizon Center 18,227	10–37
