Further Cities	County, Oblast or State	Country	Distance	Direction
Wien	Wien	Austria	km (mi)	West
Bratislava	Bratislava	Slovakia	km (mi)	West
Győr	Győr-Moson-Sopron	Hungary	km (mi)	West
Banská Bystrica	Banská Bystrica	Slovakia	km (mi)	North
Košice	Košice	Slovakia	km (mi)	Northeast
Miskolc	Borsod-Abaúj-Zemplén	Hungary	km (mi)	East
Uzhhorod	Zakarpattia	Ukraine	km (mi)	East
Satu Mare	Satu Mare	Romania	km (mi)	East
Debrecen	Hajdú-Bihar	Hungary	km (mi)	East
Oradea	Bihor	Romania	km (mi)	East
Arad	Arad	Romania	km (mi)	Southeast
Szeged	Csongrád	Hungary	km (mi)	South
Belgrade	Belgrade	Serbia	km (mi)	South
Pécs	Baranya	Hungary	km (mi)	Southwest
