Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1965	Jüri Tarto	Helle-Mall Pajumägi	Jüri Tarto Raivo Kristianson	Hele-Mall Pajumägi Malle Mõistlik	Ülo Nurges Hele-mall Pajumägi
1966	Jüri Tarto	Reet Valgmaa	Jaak Nuuter Ülo Nurges	Reet Valgmaa Tiina Gens	Heino Aunin Reet Valgmaa
1967	Jaak Nuuter	Reet Valgmaa	Jaak Nuuter Toomas Sander	Reet Valgmaa Riina Valgmaa	Heino Aunin Reet Valgmaa
1968	Jaak Nuuter	Reet Valgmaa	Jaak Nuuter Alar Kivilo	Reet Valgmaa Riina Valgmaa	Alar Kivilo Reet Valgmaa
1969	Jaak Nuuter	Reet Valgmaa	Jaak Nuuter Urmas Pau	Reet Valgmaa Riina Valgmaa	Boris Bogovski Reet Valgmaa
1970	Jaak Nuuter	Reet Valgmaa	Boris Bogovski Alar Kivilo	Reet Valgmaa Marika Lemming	Boris Bogovski Reet Valgmaa
1971	Jüri Tarto	Riina Valgmaa	Jaak Nuuter Heino Aunin	Reet Valgmaa Mariann Siliksaar	Jaak Nuuter Mare Matsalu
1972	Boris Bogovski	Riina Valgmaa	Jaak Nuuter Boris Bogovski	Reet Valgmaa Tiina Staak	Boris Bogovski Reet Valgmaa
1973	Jüri Tarto	Reet Valgmaa	Jaak Nuuter Boris Bogovski	Reet Valgmaa Skaidrite Nurges	Alfred Kivisaar Riina Valgmaa
1974	Jaak Nuuter	Reet Valgmaa	Jaak Nuuter Boris Bogovski	Reet Valgmaa Marika Dolotova	Boris Bogovski Reet Valgmaa
1975	Alfred Kivisaar	Marika Dolotova	Alfred Kivisaar Toivo Raudver	Reet Valgmaa Marika Dolotova	Alfred Kivisaar Riina Valgmaa
1976	Alfred Kivisaar	Reet Valgmaa	Alfred Kivisaar Toivo Raudver	Reet Valgmaa Riina Valgmaa	Mart Siliksaar Reet Valgmaa
1977	Alfred Kivisaar	Reet Valgmaa	Alfred Kivisaar Toivo Raudver	Reet Valgmaa Riina Valgmaa	Alfred Kivisaar Reet Valgmaa
1978	Peeter Pajumägi	Reet Valgmaa	Alfred Kivisaar Toivo Raudver	Reet Valgmaa Riina Valgmaa	Mart Siliksaar Reet Valgmaa
1979	Aleksander Adojaan	Mare Reinberg	Jüri Tarto Peeter Ärmpalu	Mare Reinberg Marina Rajevskaja	Alfred Kivisaar Mare Reinberg
1980	Tiit Vapper	Mare Reinberg	Alfred Kivisaar Toivo Raudver	Katrin Paeväli Ann Avarlaid	Argo Aru Katrin Paeväli
1981	Henry Aljand	Mare Reinberg	Henry Aljand Peeter Sepma	Mare Reinmebr Marina Rajevskaja	Alfred Kivisaar Mare Reinberg
1982	Tiit Vapper	Mare Reinberg	Henry Aljand peeter Munitsõn	Mare Reinberg Marina Rajevskaja	Kalle Kalle Kaljurand Ann Avarlaid
1983	Peeter Munitsõn	Ann Avarlaid	Ain Matvere Peeter Munitsõn	Mare Reinberg Marina Rajevskaja	Kalle Kaljurand Anna Avarlaid
1984	Ain Matvere	Mare Reinberg	Kalle Kaljurand Ivar Kask	Mare Reinberg Ann Avarlaid	Peeter Ärmpalu Mare Reinberg
1985	Kalle Kaljurand	Mare Reinberg	Kalle Kaljurand Ivar Kask	Terje Lall Anneli Lambing	Peeter Ärmpalu Mare Reinberg
1986	Andres Ojamaa	Mare Reinberg	Peeter Munitsõn Andres Ojamaa	Mare Reinberg Marina Kaljurand	Peeter Munitsõn Mare Reinberg
