Train Number	Train Name	Origin	Destination	Frequency (inbound/outbound)
2397/98	Mahabodhi Express	Gaya	New Delhi	Daily
3151/52	Kolkata-Jammutawi Exp	Kolkata	Jammutawi	Daily
3307/08	Dhanbad-Ludhiana Exp	Dhanbad	Firozpur	Daily
5109/10	Budh Poornima Exp	Varanasi	Rajgir	Daily
8611/12	Intercity Exp	Varanasi	Ranchi	4 days
8631/32	Garib Nwaz Exp	Ranchi	Ajmer	2 days
8311/12	Samabalpur Varanasi Exp	Sambalpur	Varanasi	2 days
3009/10	Dehradoon Exp	Howrah	Dehradoon	Daily
3243/44	Intercity Exp (via) Gaya	Bhabua Road	Patna	Daily
3249/50	Intercity Exp (via) Ara	Bhabua Road	Patna	Daily
