Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1934	Vijay A. Madgavkar	no competition	D. Minas V. Minas	no competition	no competition
1935	T. Banerji	T. P. Boland	Vijay A. Madgavkar B. Roy	T. P. Boland Cameron	no competition
1936	George Lewis	Pearl Goss	Harmarain Hadait	Pearl Goss D. Shandley	N. Knight I. Brydges
1937	George Lewis	Pearl Goss	Harmarain Hadait	Pearl Goss D. Shandley	George Lewis Novina George
1938	George Lewis	Pearl Goss	George Lewis Kartar Singh	Pearl Goss K. Minos	George Lewis Novina George
1939	George Lewis	Easdon	Harmarain Sahur Ahmed	Easdon Holloway	Kartar Singh Easdon
1940	Chee Choon Keng	Pearl Goss	Dattu Mugwe M. G. Mugwe	P. Cook Catchik	Vijay A. Madgavkar Pearl Goss
1941	no competition	no competition	no competition	no competition	no competition
1942	Prakash Nath	Tara Deodhar	Ashok Nath Prakash Nath	Tara Deodhar Sunder Deodhar	Raja Patwardhan Sunder Deodhar
1943	Devinder Mohan	Tara Deodhar	George Lewis Devinder Mohan	Tara Deodhar Sunder Deodhar	V. N. Iyer Ravibala Chitale
1944	Devinder Mohan	Tara Deodhar	Khandu M. Ranganekar Dattu Mugwe	Frenee Talyarkhan Mumtaj Chinoy	Prakash Nath Sunder Deodhar
1945	Prakash Nath	Mumtaj Chinoy	George Lewis Devinder Mohan	Frenee Talyarkhan Mumtaj Chinoy	Prakash Nath Sunder Deodhar
1946	Devinder Mohan	Sunder Deodhar	Ashok Nath Prakash Nath	Suman Deodhar Sunder Deodhar	Devinder Mohan Sunder Deodhar
1947	S. A. Durai	Tonny Ahm	A. S. Samuel Chan Kon Leong	Suman Deodhar Sunder Deodhar	Tage Madsen Suman Deodhar
1948	no competition	no competition	no competition	no competition	no competition
1949	Devinder Mohan	Pearl Goss	Dattu Mugwe Bala V. Ullal	Acharya Tambe	George Lewis Novina George
1950	Devinder Mohan	B. Farias	Henry Ferreira Devinder Mohan	B. Farias S. Phansalkar	Henry Ferreira B. Farias
1951	Amrit Lal Diwan	Suman Deodhar	Gajanan Hemmady Manoj Guha	Suman Deodhar Sunder Deodhar	Trilok Nath Seth D. H. Devid
1952	Trilok Nath Seth	Sushila Rege	Henry Ferreira Devinder Mohan	Sushila Rege Shashi Bhatt	Henry Ferreira Sushila Rege
1953	Nandu M. Natekar	Sushila Rege	Gajanan Hemmady Manoj Guha	Sushila Rege Shashi Bhatt	Nandu M. Natekar Shashi Bhat
1954	Nandu M. Natekar	Sunder Deodhar	Gajanan Hemmady Manoj Guha	Suman Deodhar Sunder Patwardhan	Nandu M. Natekar Shashi Bhat
1955	Trilok Nath Seth	Prema Prashar	Nandu M. Natekar R. A. Dongre	Prema Prashar Sushila Kapadia	D. N. Dhongade Prama Prashar
1956	Trilok Nath Seth	Tara Dandige	Nandu M. Natekar R. D. Vimawala	J. Kour Meena Shah	D. N. Dhongade M. Gokhale
1957	Trilok Nath Seth	Prema Prashar	D. N. Dhongade R. D. Vimawala	Prema Prashar Sushila Kapadia	Chandrakant Deoras Sushila Kapadia
1958	Nandu M. Natekar	Sushila Kapadia	Nandu M. Natekar M. K. Bopardikar	Prema Prashar Sushila Kapadia	Amrit Lal Diwan Meena Shah
