Barangay	Urban/rural	Geographic character	Population (2007)	Population (2010)
Alangilan	Rural	Coastal/Farm	4346	4361
Amio	Rural	Hill/Farm	2192	2118
Buenavista	Rural	Hill/Farm	1270	990
Kabulacan	Rural	Hill/Farm	2821	2480
Caigangan	Rural	Hill/Farm	1553	1386
Caranoche	Rural	Coastal/Farm	3742	3913
Cawitan	Rural	Coastal/Farm	5602	5809
Fatima	Rural	Coastal/Farm	1517	1317
Mabuhay	Rural	Coastal/Farm	1892	1847
Manalongon	Rural	Coastal/Farm	4319	4842
Mansagomayon	Rural	Hill/Farm	1421	1011
Milagrosa	Rural	Hill/Farm	4148	3385
Nagbinlod	Rural	Hill/Farm	2512	3012
Nagbalaye	Rural	Coastal/Farm	4941	4957
Obat	Rural	Hill/Farm	2572	2599
Poblacion	Urban	Coastal/Farm	11788	12515
San Francisco	Rural	Coastal/Farm	3940	4052
San Jose	Rural	Hill/Farm	2490	2539
San Miguel	Rural	Hill/Farm	939	1282
San Pedro	Rural	Coastal/Farm	3517	3319
Santo Rosario	Rural	Hill/Farm	1379	1315
Talalak	Rural	Hill/Farm	3738	4257
