Episode number Production number	Title	Original airing	Rating	Share	18-49	Total viewers (in millions)	Rank per week
88 5-01	You're Gonna Love Tomorrow	September 28, 2008	11.4	17	7.1	18.684	#2
89 5-02	We're So Happy You're So Happy	October 5, 2008	10.0	15	5.8	15.685	#4
90 5-03	Kids Ain't Like Everybody Else	October 12, 2008	9.8	15	5.9	15.505	#6
91 5-04	Back in Business	October 19, 2008	9.7	14	5.7	15.485	#3
92 5-05	Mirror, Mirror	October 26, 2008	10.1	15	5.8	15.953	#5
93 5-06	There's Always a Woman	November 2, 2008	10.1	15	5.8	15.933	#8
94 5-07	What More Do I Need?	November 9, 2008	10.1	15	5.9	15.854	#5
95 5-08	City on Fire	November 16, 2008	10.3	15	6.2	16.842	#6
96 5-09	Me and My Town	November 30, 2008	9.9	15	5.7	15.814	#7
97 5-10	A Vision's Just a Vision	December 7, 2008	9.9	15	6.0	16.088	#5
98 5-11	Home Is the Place	January 4, 2009	8.8	13	5.2	14.394	#4
99 5-12	Connect! Connect!	January 11, 2009	8.5	12	5.2	13.787	#10
100 5-13	The Best Thing That Ever Could Have Happened	January 18, 2009	8.3	12	4.6	13.082	#15
101 5-14	Mama Spent Money When She Had None	February 8, 2009	8.6	13	4.9	13.823	#11
102 5-15	In a World Where the Kings Are Employers	February 15, 2009	8.7	13	4.9	14.010	#10
103 5-16	Crime Doesn't Pay	March 8, 2009	8.7	13	4.7	13.646	#9
104 5-17	The Story of Lucy and Jessie	March 15, 2009	9.1	14	5.1	14.602	#5
105 5-18	A Spark. To Pierce the Dark.	March 22, 2009	9.2	14	5.0	14.748	#7
106 5-19	Look Into Their Eyes and You See What They Know	April 19, 2009	8.6	13	4.8	13.851	#7
107 5-20	Rose's Turn	April 26, 2009	8.5	13	4.7	13.642	#7
108 5-21	Bargaining	May 3, 2009	8.4	13	4.4	13.485	#11
109 5-22	Marry Me a Little	May 10, 2009	7.7	12	4.1	12.293	#13
110 5-23	Everybody Says Don't	May 17, 2009	8.7	14	4.7	13.956	#9
111 5-24	If It's Only In Your Head	May 17, 2009	8.7	14	4.7	13.956	#9
