Draft	Round	Pick	Player	Nationality
1973	1	2	Glenn Goldup Category:Articles with hCards	Canada
1973	1	12	Blake Dunlop Category:Articles with hCards	Canada
1973	2	26	Mike Clarke Category:Articles with hCards	Canada
1973	3	38	Tom Colley Category:Articles with hCards	Canada
1973	4	41	Randy Holt Category:Articles with hCards	Canada
1973	4	51	Alan Hangsleben Category:Articles with hCards	United States
1973	5	53	Larry Patey Category:Articles with hCards	Canada
1973	5	64	Robert "Cap" Raeder Category:Articles with hCards	United States
1973	6	77	Rick Chinnick Category:Articles with hCards	Canada
1973	7	90	Steve Alley Category:Articles with hCards	United States
