Week	Division	Position	Player	School
February 12	East	Player	Jess Carmichael	Kent State
February 12	East	Pitcher	Lisa McLean	Akron
February 12	West	Player	None selected	None selected
February 12	West	Pitcher	None selected	None selected
February 19	East	Player	Jessica Toocheck (1)	Kent State
February 19	East	Pitcher	Gabrielle Burns (1)	Kent State
February 19	West	Player	Samantha Vargocko	Western Michigan
February 19	West	Pitcher	Kari Chambers	Eastern Michigan
February 26	East	Player	Jessica Toocheck (2)	Kent State
February 26	East	Pitcher	Gabrielle Burns (2)	Kent State
February 26	West	Player	Amanda Pick	Ball State
February 26	West	Pitcher	Tiffany Garofano (1)	Ball State
