Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	13–1	Junior dos Santos	TKO (slam and punch)	UFC 166	5	3:09	Houston, Texas , United States
Win	12–1	Antonio Silva	TKO (punches)	UFC 160	1	1:21	Las Vegas, Nevada , United States
Win	11–1	Junior dos Santos	Decision (unanimous)	UFC 155	5	5:00	Las Vegas, Nevada , United States
Win	10–1	Antonio Silva	TKO (punches)	UFC 146	1	3:36	Las Vegas, Nevada , United States
Loss	9–1	Junior dos Santos	KO (punches)	UFC on Fox: Velasquez vs. Dos Santos	1	1:04	Anaheim, California , United States
Win	9–0	Brock Lesnar	TKO (punches)	UFC 121	1	4:12	Anaheim, California , United States
Win	8–0	Antônio Rodrigo Nogueira	KO (punches)	UFC 110	1	2:20	Sydney , Australia
Win	7–0	Ben Rothwell	TKO (punches)	UFC 104	2	0:58	Los Angeles, California , United States
Win	6–0	Cheick Kongo	Decision (unanimous)	UFC 99	3	5:00	Cologne , Germany
Win	5–0	Denis Stojnić	TKO (punches)	UFC Fight Night: Lauzon vs. Stephens	2	2:34	Tampa, Florida , United States
Win	4–0	Jake O'Brien	TKO (punches)	UFC: Silva vs Irvin	1	2:02	Las Vegas, Nevada , United States
Win	3–0	Brad Morris	TKO (punches)	UFC 83	1	2:10	Montreal, Quebec , Canada
Win	2–0	Jeremiah Constant	TKO (punches)	BodogFight: St. Petersburg	1	4:00	St. Petersburg , Russia
Win	1–0	Jesse Fujarczyk	TKO (punches)	Strikeforce: Tank vs. Buentello	1	1:58	Fresno, California , United States
