Round	Pick	Overall	Name	Position	College
1	6	6	Charlie Gogolak	K	Princeton
2	5	21	Walt Barnes	DT	Nebraska
3	6	38	Tom Barrington	RB	Ohio State
4	5	53	Billy Clay	DB	Mississippi
5	6	70	Dick Lemay	OT	Vanderbilt
6	14	94	Earl Yates	OT	Duke
7	6	101	George Patton	OT	Georgia
8	5	115	Stan Mitchell	RB	Tennessee
9	6	131	Jack Shinholser	LB	Florida State
10	5	145	Caesar Belser	DB	Arkansas AM&N [j ]
11	6	161	Dick Reding	WR	Northwestern State
12	5	175	John Stipech	LB	Utah
13	6	191	Heath Wingate	C	Bowling Green
14	5	205	Jerry Lovelace	HB	Texas Tech
15	6	221	Hal Seymour	HB	Florida
16	5	235	Hal Wantland	DB	Tennessee
17	6	251	Mitch Zalnasky	E	Pittsburgh
18	5	265	Joe Burson	HB	Georgia
19	6	281	Andre White	TE	Florida A&M
20	5	295	John Kelly	T	Florida A&M
