Pick	Player	Team	Position	School
1	Josh Hamilton	Tampa Bay Devil Rays	OF	Athens Drive HS (Raleigh, North Carolina)
2	Josh Beckett	Florida Marlins	P	Spring HS (Spring, Texas)
3	Eric Munson	Detroit Tigers	C	University of Southern California
4	Corey Myers	Arizona Diamondbacks	SS	Desert Vista HS (Phoenix, Arizona)
5	B.J. Garbe	Minnesota Twins	OF , P	Moses Lake HS (Moses Lake, Washington)
6	Josh Girdley	Montreal Expos	P	Jasper HS (Jasper, Texas)
7	Kyle Snyder	Kansas City Royals	P	University of North Carolina
8	Bobby Bradley	Pittsburgh Pirates	P	Wellington Community HS (Wellington, Florida)
9	Barry Zito	Oakland Athletics	P	University of Southern California
10	Ben Sheets	Milwaukee Brewers	P	Northeast Louisiana University
11	Ryan Christianson	Seattle Mariners	C	Arlington HS (Riverside, California)
12	Brett Myers	Philadelphia Phillies	P	Englewood Senior HS (Jacksonville, Florida)
13	Mike Paradis	Baltimore Orioles	P	Clemson University
14	Ty Howington	Cincinnati Reds	P	Hudson's Bay HS (Vancouver, Washington)
15	Jason Stumm	Chicago White Sox	P	Centralia HS (Centralia, Washington)
16	Jason Jennings	Colorado Rockies	P	Baylor University
17	Rick Asadoorian	Boston Red Sox	OF	Northbridge HS (Whitinsville, Massachusetts)
18	Richard Stahl	Baltimore Orioles	P	Newton County HS (Covington, Georgia)
19	Alex Ríos	Toronto Blue Jays	OF	San Pedro Martin HS (Guaynabo, PR)
20	Vince Faison	San Diego Padres	OF	Toombs County HS (Lyons, Georgia)
21	Larry Bigbie	Baltimore Orioles	OF	Ball State University
22	Matt Ginter	Chicago White Sox	P	Mississippi State University
23	Keith Reed	Baltimore Orioles	OF	Providence College
24	Kurt Ainsworth	San Francisco Giants	P	Louisiana State University
25	Mike MacDougal	Kansas City Royals	P	Wake Forest University
26	Ben Christensen	Chicago Cubs	P	Wichita State University
27	David Walling	New York Yankees	P	University of Arkansas
28	Gerik Baxter	San Diego Padres	P	Edmonds Woodway HS (Edmonds, Washington)
29	Omar Ortíz	San Diego Padres	P	University of Texas-Pan American
30	Chance Caple	St. Louis Cardinals	P	Texas A&M University
