Rank	Nation	Gold	Silver	Bronze	Total
1	Cuba (CUB)	12	8	10	30
2	Brazil (BRA)	9	5	9	23
3	United States (USA)	6	12	6	24
4	Canada (CAN)	6	4	2	12
5	Mexico (MEX)	3	7	5	15
6	Jamaica (JAM)	3	4	0	7
7	Bahamas (BAH)	2	2	2	6
8	Ecuador (ECU)	2	2	1	5
9	Panama (PAN)	1	1	0	2
10	Antigua and Barbuda (ANT)	1	0	2	3
11=	Netherlands Antilles (AHO)	1	0	0	1
11=	El Salvador (ESA)	1	0	0	1
13	Colombia (COL)	0	1	2	3
14	Guatemala (GUA)	0	1	0	1
15	Argentina (ARG)	0	0	3	3
16=	Dominica (DMA)	0	0	1	1
16=	Dominican Republic (DOM)	0	0	1	1
16=	Grenada (GRN)	0	0	1	1
16=	Saint Lucia (LCA)	0	0	1	1
16=	Trinidad and Tobago (TRI)	0	0	1	1
Total	Total	47	47	47	141
