Date	Event	City	Oil Pattern	Winner (Title #)	Runner-up	Score
Sep. 26	Dydo Japan Cup	Tokyo	Standard	Walter Ray Williams Jr. (42)	Pete Weber	289-236
Oct. 28	USBC Masters	Milwaukee	Standard	Doug Kent (9)	Jack Jurek	277-230
Nov. 5	Motor City Classic	Taylor, MI	Cheetah	Tony Reyes (1)	Wes Malott	255-238
Nov. 12	Etonic Championship	Cheektowaga	Shark	Pete Weber (33)	Doug Kent	247-196
Nov. 19	Lake County Indiana Classic	Hammond, IN	Chameleon	Norm Duke (25)	Mika Koivuniemi	236-233
Nov. 25	Discover Windy City Classic	Vernon Hills	Scorpion	Wes Malott (2)	Chris Barnes	269-239
Dec. 3	Ace Hardware Championship	Wickliffe, OH	Viper	Tommy Jones (9)	Wes Malott	222-221
Dec. 10	Beltway Classic	Baltimore, MD	Cheetah	Sean Rash (2)	Parker Bohn III	279-225
Dec. 17	Columbia 300 Classic	West Babylon, NY	Shark	Norm Duke (26)	Ryan Shafer	218-179
Jan. 7	H&R Block Classic	Reno, NV	Chameleon	Patrick Allen (8)	Walter Ray Williams Jr.	255-247
Jan. 14	Earl Anthony Medford Classic	Medford, OR	Scorpion	Sean Rash (3)	Brian Himmler	262-190
Jan. 21	Dick Weber Open	Fountain Valley	Standard	Jason Couch (14)	Patrick Allen	258-236
Jan. 28	Motel 6 Classic	Henderson, NV	Viper	Jason Couch (15)	Billy Oatman	236-228
Feb. 4	Sun City Classic	El Paso, TX	Scorpion	Mika Koivuniemi (7)	Chris Barnes	214-185
Feb. 11	GEICO Classic	Irving, TX	Shark	Chris Barnes (8)	John May	235-216
Feb. 18	Go RV'ing Classic	Council Bluffs, IA	Chameleon	Patrick Allen (9)	Parker Bohn III	218-169
Feb. 25	Bayer Classic	Parkersburg, WV	Cheetah	Mike Mineman (1)	Mike Machuga	223-202
Mar. 4	64th U.S. Open	North Brunswick, NJ	U.S. Open	Pete Weber (34)	Wes Malott	210-204
Mar. 18	Pepsi Championship	Indianapolis	Viper	Norm Duke (27)	Ryan Shafer	235-219
Mar. 25	Denny's World Championship	Wyoming, MI	World Champ.	Doug Kent (10)	Chris Barnes	237-216
Apr. 1	Tournament Of Champions	Uncasville, CT	T of C	Tommy Jones (10)	Tony Reyes	257-222
