Rank	English title	Chinese title	Average	Peak	Premiere	Finale	HK viewers
1	The Family Link	師奶兵團	33	42	31	33	2.12 million
2	Fathers and Sons	爸爸閉翳	32	40	31	37	2.11 million
3	Heart of Greed	溏心風暴	32	48	29	40	2.08 million
4	Ten Brothers	十兄弟	32	39	29	36	2.05 million
5	On the First Beat	學警出更	31	38	30	35	2.03 million
6	The Green Grass of Home	緣來自有機	31	36	29	33	2.01 million
7	Dicey Business	賭場風雲	31	37	30	34	1.99 million
8	Steps	舞動全城	31	36	31	32	1.98 million
9	The Drive of Life	歲月風雲	30	39	31	33	1.97 million
10	War and Destiny	乱世佳人	30	35	30	32	1.96 million
