Category	Film	Director(s)	Country	Nominating Festival
2007	2007	2007	2007	2007
Short Film 2007 Prix UIP	Lightborne	Eduardo Chapero-Jackson	Spain	Prix UIP Venezia
Short Film 2007 Prix UIP	Adjustment	Ian Mackinnon	Britain	Prix UIP Angers
Short Film 2007 Prix UIP	Amin	David Dusa	France	Prix UIP Rotterdam
Short Film 2007 Prix UIP	Dad	Daniel Mulloy	Britain	Prix UIP Cracow
Short Film 2007 Prix UIP	Dreams and Desires	Joanna Quinn	Britain	Prix UIP Tampere
Short Film 2007 Prix UIP	Le dîner	Cécile Vernant	France	Prix UIP Valladolid
Short Film 2007 Prix UIP	Quiz	Renaud Callebaut	Portugal	Prix UIP Ghent
Short Film 2007 Prix UIP	Plot Point	Nicolas Provost	Belgium	Prix UIP Vila do Conde
Short Film 2007 Prix UIP	Rotten Apple	Ralitza Petrova	Britain	Prix UIP Berlin
Short Film 2007 Prix UIP	Salvador	Abdelatif Hwidar	Switzerland	Prix UIP Drama
Short Film 2007 Prix UIP	Tokyo Jim	Simon Ellis	United Kingdom	Prix UIP Edinburgh
Short Film 2007 Prix UIP	Soft	Jamie Rafn	United Kingdom	Prix UIP Sarajevo
Short Film 2007 Prix UIP	Tommy	Ole Giæver	Norway	Prix UIP Grimstad
