No. in series	Title	Directedby	Writtenby	Originalairdate	Production code
1	" Pilot "	Allen Coulter & Michael Dinner	Kurt Sutter	September3,2008	1WAB79
2	" Seeds "	Charles Haid	Kurt Sutter	September10,2008	1WAB01
3	" Fun Town "	Stephen Kay	Kurt Sutter	September17,2008	1WAB02
4	" Patch Over "	Paris Barclay	James D. Parriott	September24,2008	1WAB03
5	" Giving Back "	Tim Hunter	Jack LoGiudice	October1,2008	1WAB04
6	" AK-51 "	Seith Mann	Nichole Beattie	October8,2008	1WAB05
7	" Old Bones "	Gwyneth Horder-Payton	Dave Erickson	October15,2008	1WAB06
8	" The Pull "	Guy Ferland	Kurt Sutter & Jack LoGiudice	October22,2008	1WAB07
9	" Hell Followed "	Billy Gierhart	Brett Conrad	October29,2008	1WAB08
10	" Better Half "	Mario Van Peebles	Pat Charles	November5,2008	1WAB09
11	" Capybara "	Stephen Kay	Kurt Sutter & Dave Erickson	November12,2008	1WAB10
12	" The Sleep of Babies "	Terrence O'Hara	Kurt Sutter	November19,2008	1WAB11
