Name	Latitude	Longitude	Diameter	Year named
Akitu Sulcus	38.9N	194.3W	365.0	1997
Anshar Sulcus	18.0N	197.9W	1,372.0	1979
Apsu Sulci	39.4S	234.7W	1,950.0	1979
Aquarius Sulcus	52.4N	3.9W	1,420.0	1979
Arbela Sulcus	21.1S	349.8W	1,940.0	1985
Bubastis Sulci	72.3S	282.9W	2,651.0	1988
Byblus Sulcus	37.9N	199.9W	645.0	1997
Dardanus Sulcus	46.9S	17.5W	2,988.0	1979
Dukug Sulcus	83.5N	3.8W	385.0	1985
Elam Sulci	58.2N	200.3W	1,855.0	1985
Erech Sulcus	7.3S	179.2W	953.0	1985
Harpagia Sulcus	11.7S	318.7W	1,792.0	1985
Hursag Sulcus	9.7S	233.1W	750.0	1985
Kishar Sulcus	6.4S	216.6W	1,187.0	1979
Lagash Sulcus	10.9S	163.2W	1,575.0	1985
Larsa Sulcus	3.8N	248.7W	1,000.0	2000
Mashu Sulcus	29.8N	205.7W	2,960.0	1979
Mysia Sulci	7.0S	7.9W	5,066.0	1979
Nineveh Sulcus	23.5N	53.1W	1,700.0	1997
Nippur Sulcus	36.9N	185.0W	1,425.0	1985
Nun Sulci	49.5N	316.4W	1,500.0	1979
Philae Sulcus	65.5N	169.0W	900.0	1997
Philus Sulcus	44.1N	209.5W	465.0	1979
Phrygia Sulcus	12.4N	23.5W	3,700.0	1979
Shuruppak Sulcus	19.3S	232.2W	2,800.0	2000
Sicyon Sulcus	32.7N	18.5W	2,125.0	1979
Sippar Sulcus	15.4S	189.3W	1,508.0	1985
Tiamat Sulcus	3.4N	208.5W	1,330.0	1979
Umma Sulcus	4.1N	250.0W	1,270.0	2000
Ur Sulcus	49.8N	177.5W	1,145.0	1985
Uruk Sulcus	0.8N	160.3W	2,200.0	1979
Xibalba Sulcus	43.8N	71.1W	2,200.0	1997
