Season	Wins	Losses	Win%	Games behind	Playoffs	Results
1901	79	57	0.580	4	Did not make playoffs	2nd place, behind the Detroit Tigers
1902	77	60	0.562	6½	Did not make playoffs	3rd place in American League
1903	91	47	0.659	—	Won World Series	1st place in American League
1904	95	59	0.616	—	World Series canceled [b ]	1st place in American League
1905	78	74	0.513	16	Did not make playoffs	4th place in American League
1906	49	105	0.318	45½	Did not make playoffs	Last place in American League
1907	59	90	0.395	32½	Did not make playoffs	7th place in American League
1908	75	79	0.487	15½	Did not make playoffs	5th place in American League
1909	88	63	0.582	9½	Did not make playoffs	3rd place in American League
1910	81	72	0.529	22½	Did not make playoffs	4th place in American League
1911	78	75	0.509	24	Did not make playoffs	Tied for 4th place in American League
1912	105	47	0.690	—	Won World Series	1st place in American League
1913	79	71	0.526	15½	Did not make playoffs	4th place in American League
1914	91	62	0.594	8½	Did not make playoffs	2nd place in American League
1915	101	50	0.668	—	Won World Series	1st place in American League
1916	91	63	0.590	—	Won World Series	1st place in American League
1917	90	62	0.592	9	Did not make playoffs	2nd place in American League
1918	75	51	0.595	—	Won World Series	1st place in American League
1919	66	71	0.481	20½	Did not make playoffs	6th place in American League
1920	72	81	0.470	25½	Did not make playoffs	5th place in American League
1921	75	79	0.487	23½	Did not make playoffs	5th place in American League
1922	61	93	0.396	33	Did not make playoffs	Last place in American League
1923	61	91	0.401	37	Did not make playoffs	Last place in American League
1924	67	87	0.435	25	Did not make playoffs	7th place in American League
1925	47	105	0.309	49½	Did not make playoffs	Last place in American League
1926	46	107	0.300	44½	Did not make playoffs	Last place in American League
1927	51	103	0.331	59	Did not make playoffs	Last place in American League
1928	57	96	0.372	43½	Did not make playoffs	Last place in American League
1929	58	96	0.376	48	Did not make playoffs	Last place in American League
1930	52	102	0.337	50	Did not make playoffs	Last place in American League
1931	62	90	0.407	45	Did not make playoffs	6th place in American League
1932	43	111	0.279	64	Did not make playoffs	Last place in American League
1933	63	86	0.423	34½	Did not make playoffs	7th place in American League
1934	76	76	0.500	24	Did not make playoffs	4th place in American League
