Driver	Constructor	Laps	Time/Retired	Grid
Ralf Schumacher	Williams - BMW	56	1:34:12.912	4
Juan Pablo Montoya	Williams - BMW	56	+39.700	2
Michael Schumacher	Ferrari	56	+1:01.795	1
Jenson Button	Renault	56	+1:09.767	8
Nick Heidfeld	Sauber - Petronas	55	+1 Lap	7
Felipe Massa	Sauber - Petronas	55	+1 Lap	14
Allan McNish	Toyota	55	+1 Lap	19
Jacques Villeneuve	BAR - Honda	55	+1 Lap	13
Takuma Sato	Jordan - Honda	54	+2 Laps	15
Pedro de la Rosa	Jaguar - Cosworth	54	+2 Laps	17
Heinz-Harald Frentzen	Arrows - Cosworth	54	+2 Laps	11
Mika Salo	Toyota	53	+3 Laps	10
Giancarlo Fisichella	Jordan - Honda	53	+3 Laps	9
Rubens Barrichello	Ferrari	39	Engine	3
Mark Webber	Minardi - Asiatech	34	Electrical	21
Eddie Irvine	Jaguar - Cosworth	30	Hydraulics	20
Alex Yoong	Minardi - Asiatech	29	Gearbox	22
Kimi Räikkönen	McLaren - Mercedes	24	Engine	5
Enrique Bernoldi	Arrows - Cosworth	20	Fuel Pressure	16
David Coulthard	McLaren - Mercedes	15	Engine	6
Olivier Panis	BAR - Honda	9	Clutch	18
Jarno Trulli	Renault	9	Overheating	12
