Driver	Constructor	Laps	Time/Retired	Grid
Felipe Massa	Ferrari	57	1:31:06.970	2
Kimi Räikkönen	Ferrari	57	+ 3.339	4
Robert Kubica	BMW Sauber	57	+ 4.998	1
Nick Heidfeld	BMW Sauber	57	+ 8.409	6
Heikki Kovalainen	McLaren - Mercedes	57	+ 26.789	5
Jarno Trulli	Toyota	57	+ 41.314	7
Mark Webber	Red Bull - Renault	57	+ 45.473	11
Nico Rosberg	Williams - Toyota	57	+ 55.889	8
Timo Glock	Toyota	57	+ 1:09.500	13
Fernando Alonso	Renault	57	+ 1:17.181	10
Rubens Barrichello	Honda	57	+ 1:17.862	12
Giancarlo Fisichella	Force India - Ferrari	56	+ 1 lap	18
Lewis Hamilton	McLaren - Mercedes	56	+ 1 lap	3
Kazuki Nakajima	Williams - Toyota	56	+ 1 lap	16
Sébastien Bourdais	Toro Rosso - Ferrari	56	+ 1 lap	15
Anthony Davidson	Super Aguri - Honda	56	+ 1 lap	21
Takuma Sato	Super Aguri - Honda	56	+ 1 lap	22
David Coulthard	Red Bull - Renault	56	+ 1 lap	17
Adrian Sutil	Force India - Ferrari	55	+ 2 laps	20
Nelson Piquet Jr.	Renault	40	Gearbox	14
Jenson Button	Honda	19	Collision	9
Sebastian Vettel	Toro Rosso - Ferrari	0	Collision	19
Source:	Source:	Source:	Source:	Source:
