Player	No.	Nationality	Position	Years for Jazz	School/Club Team
Enes Kanter	0	Turkey	Center	2011-present	Kentucky
Adam Keefe	31	United States	Forward	1994-2000	Stanford
Rich Kelley	53 (also 44)	United States	Forward-Center	1974-79; 1982-85	Stanford
Carl Kilpatrick	51	United States	Center	1979-80	Louisiana-Monroe
Toby Kimball	7	United States	Forward	1974-75	Connecticut
Bernard King	22	United States	Forward	1979-80	Tennessee
Chris King	33	United States	Forward	1998-99	Wake Forest
Andrei Kirilenko	47	Russia	Combo forward	2001-11	CSKA Moscow ( Russia )
Brevin Knight	2	United States	Guard	2008-09	Stanford
Bart Kofoed	11	United States	Guard-Forward	1987-89	Hastings College
Kyle Korver	26	United States	Guard-Forward	2007-2010	Creighton
