Result	Date	Race	Venue	Group	Distance	Weight (kg)	Time	Jockey	Winner/2nd
Won	03 Aug 2002	Missile Stakes	Rosehill	G3	1100 m	57.5	1:03.53	D. Beadman	2nd - Ancient Song
2nd	24 Aug 2002	Warwick Stakes	Warwick Farm	G2	1400 m	57.5	1:21.85	D. Beadman	1st - Defier
Won	07 Sep 2002	Chelmsford Stakes	Randwick	G2	1600 m	57.5	1:36.30	D. Beadman	2nd - Platinum Scissors
4th	29 Sep 2002	George Main Stakes	Randwick	G1	1600 m	57.5	1:38.31	D. Beadman	1st - Defier
Won	12 Oct 2002	Caulfield Stakes	Caulfield	G1	2000 m	57.5	2:00.60	D. Beadman	2nd - Sunline
6th	26 Oct 2002	Cox Plate	Moonee Valley	G1	2040 m	56.5	2:06.27	D. Beadman	1st - Northerly
Won	02 Nov 2002	MacKinnon Stakes	Flemington	G1	2000 m	57.5	2:02.64	D. Beadman	2nd - Royal Code
Won	22 Feb 2003	Expressway Stakes	Randwick	G2	1200 m	57.5	1:10.66	D. Beadman	2nd - Belle Du Jour
Won	08 Mar 2003	Apollo Stakes	Randwick	G2	1400 m	58	1:22.49	D. Beadman	2nd - Hoeburg
Won	15 Mar 2003	Chipping Norton Stakes	Warwick Farm	G1	1600 m	58	1:37.93	D. Beadman	2nd - Shogun Lodge
Won	05 Apr 2003	George Ryder Stakes	Rosehill	G1	1500 m	58	1:30.71	D. Beadman	2nd - Dash for Cash
4th	19 Apr 2003	Doncaster Handicap	Randwick	G1	1600 m	57.5	1:36.85	D. Beadman	1st - Grand Armee
