Driver	Constructor	Laps	Time/Retired	Grid
Johnny Herbert	Benetton - Renault	53	1:18:27.916	8
Mika Häkkinen	McLaren - Mercedes	53	+17.779	7
Heinz-Harald Frentzen	Sauber - Ford	53	+24.321	10
Mark Blundell	McLaren - Mercedes	53	+28.223	9
Mika Salo	Tyrrell - Yamaha	52	+1 Lap	16
Jean-Christophe Boullion	Sauber - Ford	52	+1 Lap	14
Massimiliano Papis	Footwork - Hart	52	+1 Lap	15
Taki Inoue	Footwork - Hart	52	+1 Lap	20
Pedro Diniz	Forti - Ford	50	+3 Laps	23
Ukyo Katayama	Tyrrell - Yamaha	47	+6 Laps	17
Jean Alesi	Ferrari	45	Wheel bearing	5
Rubens Barrichello	Jordan - Peugeot	43	Clutch	6
Eddie Irvine	Jordan - Peugeot	40	Engine	12
Gerhard Berger	Ferrari	32	Suspension	3
Luca Badoer	Minardi - Ford	26	Accident	18
Michael Schumacher	Benetton - Renault	23	Collision	2
Damon Hill	Williams - Renault	23	Collision	4
Olivier Panis	Ligier - Mugen-Honda	20	Spun off	13
David Coulthard	Williams - Renault	13	Spun off	1
Martin Brundle	Ligier - Mugen-Honda	10	Puncture	11
Giovanni Lavaggi	Pacific - Ford	6	Spun off	24
Pedro Lamy	Minardi - Ford	0	Transmission	19
Andrea Montermini	Pacific - Ford	0	Collision	21
Roberto Moreno	Forti - Ford	0	Collision	22
