Year	Title	From album	Label	Label-Nr
1962	Tonight / Sinnin' Sam	Lookin' Ahead	Pacific Jazz	X-340
1962	The Young Rabbits / Song of India	Lookin' Ahead	Pacific Jazz	X-342
1962	Congolese Sermon / Weather Beat	(only on 45)	Pacific Jazz	X-357
1963	No Name Samba / Tough Talk	Tough Talk	World Pacific	X-371
1963	Turkish Black / Boopie	Tough Talk	World Pacific	X-388
1963	Spanish Castles / Bluesette	Jazz Waltz (w. Les McCann)	World Pacific	406
1964	Heat Wave / On Broadway	Heat Wave	World Pacific	401
1964	I Remember Tomorrow / Long John	Stretchin' Out	World Pacific	412
1965	Tough Talk / The Thing	The Thing	World Pacific	77800
1965	Aqua Dulce / Soul Bourgeoisie	Chile Con Soul	World Pacific	77806
1966	Scratch / Uptight	Talk That Talk	Pacific Jazz	88125
1968	Ooga-Boo-Ga-Loo / Eleanor Rigby	Lighthouse '68	Pacific Jazz	88144
1968	Hey Jude / Love and Peace	Powerhouse	Pacific Jazz	88146
1969	Get Back / Willie and Laura Mae Jones	Lighthouse '69	Word Pacific Jazz	88153
1970	Way Back Home / Jackson	Old Socks, New Shoes	Chisa	C-8010
