Position	Name	Height (cm)	Weight (kg)	Birthdate	Birthplace	1997–1998 Team
G	Garth Snow	191	91	July 28, 1969	Wrentham, Massachusetts	Vancouver Canucks
G	Tim Thomas	180	91	April 15, 1974	Davison, Michigan	HIFK ( SM-liiga )
D	Greg Brown	183	92	March 7, 1968	Southborough, Massachusetts	EV Landshut ( ESBG )
D	Adam Burt	185	94	January 15, 1969	Detroit, Michigan	Carolina Hurricanes
D	Mike Crowley	180	86	July 4, 1975	Bloomington, Minnesota	Cincinnati Mighty Ducks ( AHL )
D	Chris Luongo	193	88	March 17, 1967	Farmington Hills, Michigan	EV Landshut ( ESBG )
D	Brian Rafalski	178	87	September 28, 1973	Dearborn, Michigan	HIFK ( SM-liiga )
D	Paul Stanton	183	88	June 22, 1967	Boston, Massachusetts	Adler Mannheim ( DEL )
D	Dan Trebil	191	98	April 10, 1974	Bloomington, Minnesota	Cincinnati Mighty Ducks ( AHL )
D	Eric Weinrich	185	95	December 19, 1966	Roanoke, Virginia	Chicago Blackhawks
LW	Bates Battaglia	188	93	December 13, 1975	Chicago, Illinois	Carolina Hurricanes
LW	Donald Brashear	191	108	January 7, 1972	Bedford, Indiana	Vancouver Canucks
LW	Tom Chorske	185	96	September 18, 1966	Minneapolis, Minnesota	New York Islanders
LW	David Roberts	183	84	May 28, 1970	Alameda, California	Syracuse Crunch ( AHL )
C	Matt Cullen	185	91	November 2, 1976	Virginia, Minnesota	Mighty Ducks of Anaheim
C	Chris Drury	179	86	August 20, 1976	Trumbull, Connecticut	Boston University ( HE )
C	Ted Drury	183	86	September 13, 1971	Boston, Massachusetts	Mighty Ducks of Anaheim
C	Todd Harkins	191	95	October 8, 1968	Cleveland, Ohio	DEV Gmbtt
C	Darby Hendrickson	183	88	August 28, 1972	Richfield, Minnesota	Toronto Maple Leafs
C	Bryan Smolinski	185	93	December 27, 1971	Toledo, Ohio	New York Islanders
RW	Kevin Miller	183	86	September 2, 1965	Lansing, Michigan	Chicago Blackhawks
RW	Mark Parrish	183	91	February 2, 1977	Bloomington, Minnesota	Seattle Thunderbirds ( WHL )
