Congresswoman	State	Date of delivery	Mother's age	Baby gender
Yvonne Braithwaite Burke	California	November 1973	40	Girl
Enid Greene Waldholtz	Utah	August 1995	37	Girl
Susan Molinari	New York	May 10, 1996	38	Girl
Blanche Lincoln	Arkansas	June 1996	35	Twin boys
Cathy McMorris Rodgers	Washington	April 29, 2007	37	Boy
Kirsten Gillibrand	New York	May 15, 2008	41	Boy
Stephanie Herseth Sandlin	South Dakota	December 15, 2008	38	Boy
Linda Sanchez	California	May 13, 2009	40	Boy
Cathy McMorris Rodgers	Washington	December 2010	41	Girl
Jaime Herrera Beutler	Washington	July 15, 2013	34	Girl
