Driver	Team	Race 1	Race 2	Race 3
Paul Radisich	Dick Johnson Racing	1	1	1
Russell Ingall	Castrol Perkins Racing	4	5	2
John Faulkner	John Faulkner Racing	6	6	3
Wayne Gardner	Perkins Engineering	7	7	4
Mark Larkham	Larkham Motor Sport	8	8	5
Jason Bright	Stone Brothers Racing	15	12	6
Larry Perkins	Castrol Perkins Racing	11	11	7
Jason Bargwanna	Garry Rogers Motorsport	13	13	8
Glenn Seton	Glenn Seton Racing	14	16	9
Steven Richards	John Faulkner Racing	20	17	10
Steve Reed	Lansvale Racing Team	12	15	11
Mark Skaife	Holden Racing Team	DNF	10	12
Tony Longhurst	Tony Longhurst Racing	10	9	13
Paul Romano	Romano Racing	DNF	DNF	14
David Parsons	Challenge Recruitment	17	19	15
Rodney Forbes	Rodney Forbes Racing	18	DNF	16
Neil Crompton	Glenn Seton Racing	9	14	17
Dick Johnson	Dick Johnson Racing	16	18	DNF
Garth Tander	Garry Rogers Motorsport	3	3	DNF
Steve Ellery	Supercheap Auto Racing	2	2	DNS
Craig Lowndes	Holden Racing Team	5	4	DNS
Brett Peters	Colourscan Motorsport	19	20	DNS
