Year	Australian Open	French Open	Wimbledon	US Open
2013	Ana Konjuh Carol Zhao	Barbora Krejčíková Kateřina Siniaková	Barbora Krejčíková Kateřina Siniaková	Barbora Krejčíková Kateřina Siniaková
2012	Gabrielle Andrews Taylor Townsend	Daria Gavrilova Irina Khromacheva	Eugenie Bouchard Taylor Townsend	Gabrielle Andrews Taylor Townsend
2011	An-Sophie Mestach Demi Schuurs	Irina Khromacheva Maryna Zanevska	Eugenie Bouchard Grace Min	Irina Khromacheva Demi Schuurs
2010	Jana Čepelová Chantal Škamlová	Tímea Babos Sloane Stephens	Tímea Babos Sloane Stephens	Tímea Babos Sloane Stephens
2009	Christina McHale Ajla Tomljanović	Elena Bogdan Noppawan Lertcheewakarn	Noppawan Lertcheewakarn Sally Peers	Valeria Solovieva Maryna Zanevska
2008	Ksenia Lykina Anastasia Pavlyuchenkova	Polona Hercog Jessica Moore	Polona Hercog Jessica Moore	Noppawan Lertcheewakarn Sandra Roma
2007	Evgeniya Rodina Arina Rodionova	Ksenia Milevskaya Urszula Radwańska	Anastasia Pavlyuchenkova Urszula Radwańska	Ksenia Milevskaya Urszula Radwańska
2006	Sharon Fichman Anastasia Pavlyuchenkova	Sharon Fichman Anastasia Pavlyuchenkova	Alisa Kleybanova Anastasia Pavlyuchenkova	Ioana Raluca Olaru Mihaela Buzărnescu
2005	Victoria Azarenka Marina Eraković	Victoria Azarenka Ágnes Szávay	Victoria Azarenka Ágnes Szávay	Nikola Fraňková Alisa Kleybanova
2004	Chan Yung-jan Sun Sheng-nan	Kateřina Böhmová Michaëlla Krajicek	Victoria Azarenka Olga Govortsova	Marina Eraković Michaëlla Krajicek
2003	Casey Dellacqua Adriana Szili	Adriana González Marta Fraga	Alisa Kleybanova Sania Mirza	Cancelled due to inclement weather
2002	Gisela Dulko Angelique Widjaja	Anna-Lena Grönefeld Barbora Strýcová	Elke Clijsters Barbora Strýcová	Elke Clijsters Kirsten Flipkens
2001	Petra Cetkovská Barbora Strýcová	Petra Cetkovská Renata Voráčová	Gisela Dulko Ashley Harkleroad	Galina Fokina Svetlana Kuznetsova
2000	Anikó Kapros Christina Wheeler	María Martínez Anabel Medina	Ioana Gaspar Tatiana Perebiynis	Gisela Dulko María Salerni
1999	Eleni Daniilidou Virginie Razzano	Flavia Pennetta Roberta Vinci	Daniela Bedáňová María Salerni	Daniela Bedáňová Iroda Tulyaganova
1998	Evie Dominiković Alicia Molik	Kim Clijsters Jelena Dokić	Eva Dyrberg Jelena Kostanić	Kim Clijsters Eva Dyrberg
1997	Mirjana Lučić Jasmin Wöhr	Cara Black Irina Selyutina	Cara Black Irina Selyutina	Marissa Irvin Alexandra Stevenson
1996	Michaela Paštiková Jitka Schonfeldova	Alice Canepa Giulia Casoni	Olga Barabanschikova Amélie Mauresmo	Surina de Beer Jessica Steck
1995	Corina Morariu Ludmilla Varmuzova	Corina Morariu Ludmilla Varmuzova	Cara Black Aleksandra Olsza	Corina Morariu Ludmilla Varmuzova
1994	Corina Morariu Ludmilla Varmuzova	Martina Hingis Henrieta Nagyová	Esme DeVilliers Elizabeth Jelfs	Surina de Beer Chantal Reuter
1993	Joana Manta Ludmilla Richterova	Laurence Courtois Nancy Feber	Laurence Courtois Nancy Feber	Nicole London Julie Steven
1992	Lindsay Davenport Nicole London	Laurence Courtois Nancy Feber	Marja Avotins Lisa McShea	Lindsay Davenport Nicole London
1991	Karina Habšudová Barbara Rittner	Eva Bes Inés Gorrochategui	Catherine Barclay Limor Zaltz	Kristin Godridge Kirrily Sharpe
1990	Rona Mayer Limor Zaltz	Ruxandra Dragomir Irina Spîrlea	Karina Habšudová Andrea Strnadová	Kristin Godridge Nicole Pratt
1989	Andrea Strnadová Eva Sviglerova	Nicole Pratt Shi-Ting Wang	Jennifer Capriati Meredith McGrath	Jennifer Capriati Meredith McGrath
1988	Jo-Anne Faull Rachel McQuillan	Alexia Dechaume Emmanuelle Derly	Jo-Anne Faull Rachel McQuillan	Meredith McGrath Kimberley Po
1987	Ann Devries Nicole Provis	Natalia Medvedeva Natalia Zvereva	Natalia Medvedeva Natalia Zvereva	Meredith McGrath Kimberley Po
1986	No tournament	Leila Meshki Natalia Zvereva	Michelle Jaggard Lisa O'Neill	Jana Novotná Radomira Zrubáková
1985	Jenny Byrne Janine Thompson (Dec)	Mariana Perez Patricia Tarabini	Louise Field Janine Thompson	Andrea Holikova Radomira Zrubáková
1984	Louise Field Larisa Savchenko (Dec)	Digna Ketelaar Simone Schilder	Caroline Kuhlman Stephanie Rehe	Mercedes Paz Gabriela Sabatini
1983	Bernadette Randall Kim Staunton (Dec)	Carin Anderholm Helena Olsson	Patty Fendick Patricia Hy	Ann Hulbert Bernadette Randall
1982	Annette Gulley Kim Staunton (Dec)	Beth Herr Janet Lagasse	Penny Barg Beth Herr	Penny Barg Beth Herr
1981	Maree Booth Sharon Hodgkin (Dec)	Sophie Amiach Corinne Vanier	No tournament	No tournament
