Player	Height	Position	Year born (Age)	Current Club
Željko Zagorac	2.04	F/C	March 9, 1981 (age32)	Helios Domžale
Jaka Lakovič	1.86	PG	July 9, 1978 (age35)	FC Barcelona
Jaka Klobučar	1.99	PG/SG	August 19, 1987 (age26)	Union Olimpija
Sani Bečirovič	1.95	SG	May 19, 1981 (age32)	Lottomatica Roma
Rasho Nesterovič	2.13	C	May 30, 1976 (age37)	Indiana Pacers
Goran Dragić	1.90	PG	May 6, 1986 (age27)	Union Olimpija
Uroš Slokar	2.06	PF/C	May 14, 1983 (age30)	Triumph Lyubertsy
Nebojša Joksimović	1.93	SG	November 17, 1981 (age32)	Hemofarm
Emir Preldžič	2.06	SF/PF	September 6, 1987 (age26)	Fenerbahçe
Domen Lorbek	1.98	SG	March 6, 1985 (age28)	MMT Estudiantes
Dragisa Drobnjak	2.00	F	November 5, 1977 (age36)	Turów Zgorzelec
Miha Zupan	2.06	PF/C	September 13, 1982 (age31)	Union Olimpija
