Pick	Player	Position	Nationality	NHL team	College/junior/club team
261	Pavel Komarov	Defence	Russia	New York Rangers	Nizhny Novgorod Torpedo (Russia)
262	Jamie Matthews	Centre	Canada	San Jose Sharks	Sudbury Wolves (OHL)
263	Mark Szoke	Left Wing	Canada	Tampa Bay Lightning	Lethbridge Hurricanes (WHL)
264	David Penney	Centre	United States	Mighty Ducks of Anaheim	Wochester Academy (HS-Massachusetts)
265	Eric Montreuil	Centre	Canada	Florida Panthers	Chicoutimi Saguenéens (QMJHL)
266	Igor Chibirev	Centre	Ukraine	Hartford Whalers	Fort Wayne Komets (IHL)
267	Ilya Byakin	Defence	Russia	Edmonton Oilers	Landshut EV (Germany)
268	Maxim Smelnitsky	Left Wing	Russia	New York Rangers	Chelyabinsk Traktor (Russia)
270	Ken Hemenway	Defence	United States	Philadelphia Flyers	Alaska All-Stars (AAAAHA)
271	Alex Vasilevsky	Defence	Russia	St. Louis BLues	Victoria Cougars (WHL)
272	Scott Nichol	Centre	Canada	Buffalo Sabres	Portland Winterhawks (WHL)
273	Mike Legg	Right Wing	Canada	New Jersey Devils	London Nationals ( WJBHL )
274	Carl Charland	Right Wing	Canada	New York Islanders	Hull Olympiques (QMJHL)
275	Christer Olsson	Defence	Sweden	St. Louis Blues	Brynäs IF Gävle (Sweden)
276	Patrick Howald	Left Wing	Switzerland	Los Angeles Kings	HC Lugano (Switzerland)
277	Dany Bousquet	Centre	Canada	Washington Capitals	Penticton Panthers (BCJHL)
278	Burke Murphy	Right Wing	Canada	Calgary Flames	St. Lawrence University (NCAA)
279	Mikhail Lapin	Defence	Russia	Toronto Maple Leafs	Western Michigan University (NCAA)
280	Sergei Tkachenko	Goaltender	Ukraine	Vancouver Canucks	CSKA Kiev (Ukraine)
281	Russ Guzior	Centre	United States	Montreal Canadiens	Culver Military Academy (HS-Indiana)
282	Gordy Hunt	Left Wing	United States	Detroit Red Wings	Detroit Compuware Ambassadors (NAHL)
283	John Hillman	Centre	United States	Quebec Nordiques	St. Paul Vulcans (USHL)
284	Tom Noble	Goaltender	United States	Chicago Blackhawks	Catholic Memorial High School (HS-Massachusetts)
285	Russell Hewson	Centre	Canada	Winnipeg Jets	Swift Current Broncos (WHL)
286	Hans Jonsson	Defence	Sweden	Pittsburgh Penguins	MODO (Sweden)
