Date	Location	Opponent	Sun Devils Points	Opp. Points	Record
Nov. 28/08	Freeport, Bahamas	Hofstra	80	54	1-0
Nov. 29/08	Freeport, Bahamas	Florida	60	65	1-1
Dec. 3/08	Davis, CA	UC Davis	73	59	2-1
Dec. 6/08	Tempe	UC Irvine	75	23	3-1
Dec. 7/08	Tempe	Northern Arizona	91	65	4-1
Dec. 14/08	Tempe	UC Riverside	68	45	5-1
Dec.18/08	Austin, TX	Texas	71	81	5-2
Dec. 21/08	Tempe	Xavier	75	57	6-2
Dec. 28/08	Lincoln, NE	Nebraska	58	62	6-3
Jan. 2/09	Tempe	Stanford	61	64	6-4
Jan. 4/09	Tempe	California	53	54	6-5
Jan. 8/09	Corvalis, OR	Oregon State	61	36	7-5
Jan. 10/09	Eugene, OR	Oregon	81	53	8-5
Jan. 15/09	Tempe	UCLA	68	44	9-5
Jan. 17/09	Tempe	USC	83	71	10-5
Jan. 24/09	Tempe	Arizona	75	38	11-5
Jan.29 /09	Pullman, WA	Washington State	66	47	12-5
Jan.29 /09	Seattle, WA	Washington	80	64	13-5
Feb. 5/09	Tempe	Oregon	68	56	14-5
Feb. 7/09	Tempe	Oregon State	65	54	15-5
Feb. 12/09	Los Angeles, CA	USC	72	69	16-5
Feb. 14/09	Los Angeles, CA	UCLA	69	66	17-5
Feb. 21/09	Tucson, AZ	Arizona	60	53	18-5
Feb. 26/09	Tempe	Washington	55	32	19-5
Feb. 28/09	Tempe	Washington State	76	35	20-5
Mar. 5/09	Berkeley, CA	California	63	41	21-5
