Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2006-11-01	Lakers	99–98	Warriors	Monta Ellis (22)	19,596	0–1
2006-11-03	Blazers	89–102	Warriors	Baron Davis (17)	17,204	1–1
2006-11-04	Warriors	82–106	Jazz	Three-Way Tie (12)	18,641	1–2
2006-11-06	Warriors	107–104	Mavericks	Baron Davis (26)	20,093	2–2
2006-11-07	Warriors	93–97	Hornets	Baron Davis (22)	19,164	2–3
2006-11-09	Hornets	116–121	Warriors	Baron Davis (36)	16,927	3–3
2006-11-11	Pistons	79–111	Warriors	Baron Davis (20)	18,508	4–3
2006-11-14	Raptors	99–110	Warriors	Two-Way Tie (22)	16,182	5–3
2006-11-16	Kings	105–117	Warriors	Baron Davis (36)	17,821	6–3
2006-11-18	Sonics	95–107	Warriors	Monta Ellis (31)	17,205	7–3
2006-11-20	Suns	113–110	Warriors	Monta Ellis (31)	18,078	7–4
2006-11-22	Nuggets	115–112	Warriors	Jason Richardson (24)	17,505	7–5
2006-11-24	Warriors	129–140	Nuggets	Andris Biedriņš (31)	16,234	7–6
2006-11-25	Jazz	78–91	Warriors	Matt Barnes (24)	17,711	8–6
2006-11-27	Spurs	102–111	Warriors	Jason Richardson (26)	17,078	9–6
2006-11-29	Pacers	108–106	Warriors	Monta Ellis (27)	17,284	9–7
