Country	Total	Champions	Current	First driver(s)	Last/current driver(s)
Argentina	1	0	0	Esteban Guerrieri ( 2009 )	Esteban Guerrieri ( 2010 )
Australia	1	0	1	John Martin ( 2009 )	John Martin
Belgium	2	0	1	Bertrand Baguette ( 2008 )	Frédéric Vervisch
Brazil	3	0	1	Tuka Rocha ( 2008 )	Antônio Pizzonia
China	3	0	1	Ho-Pin Tung ( 2009 )	Ho-Pin Tung
Czech Republic	1	0	1	Filip Salaquarda ( 2011 )	Filip Salaquarda
Denmark	1	0	0	Kasper Andersen ( 2008 )	Kasper Andersen ( 2009 )
France	7	0	1	Tristan Gommendy , Nelson Philippe ( 2008 )	Tristan Gommendy
Germany	1	0	0	Max Wissel ( 2008 )	Max Wissel ( 2010 )
Greece	1	0	0	Stamatis Katsimis ( 2008 )	Stamatis Katsimis ( 2008 )
India	1	0	0	Narain Karthikeyan ( 2010 )	Narain Karthikeyan ( 2010 )
Netherlands	6	0	2	Yelmer Buurman , Robert Doornbos ( 2008 )	Yelmer Buurman , Robert Doornbos
New Zealand	2	0	1	Chris van der Drift ( 2010 )	Earl Bamber
Portugal	2	0	0	Pedro Petiz ( 2009 )	Álvaro Parente ( 2010 )
Switzerland	1	0	1	Neel Jani ( 2010 )	Neel Jani
United Arab Emirates	1	0	0	Andreas Zuber ( 2008 )	Andreas Zuber ( 2008 )
