Date	Visitor	Score	Home	Record
March 3	Winnipeg	4 - 3	Detroit	36-20-9
March 5	Minnesota	4 - 2	Detroit	36-21-9
March 7	Detroit	4 - 4	Quebec	36-21-10
March 8	Detroit	1 - 4	Montreal	36-22-10
March 12	Detroit	5 - 4	St. Louis	37-22-10
March 14	Detroit	1 - 4	Minnesota	37-23-10
March 15	Detroit	1 - 1	Winnipeg	37-23-11
March 17	Detroit	5 - 4	San Jose	38-23-11
March 20	NY Rangers	4 - 2	Detroit	38-24-11
March 22	Philadelphia	4 - 3	Detroit	38-25-11
March 24	Pittsburgh	2 - 4	Detroit	39-25-11
March 28	Vancouver	1 - 3	Detroit	40-25-11
March 29	Detroit	6 - 2	Vancouver	41-25-11
March 31	Chicago	3 - 3	Detroit	41-25-12
