Series Ep.	Episode	Segment A	Segment B	Segment C	Segment D
13-01	157	Hammers	Swiss Cheese	Roller Skates	Coloured Pencils
13-02	158	Carbon Fiber Bicycles	Blood Products	Forged Chandeliers	Ballpoint Pens
13-03	159	Swiss Army Knives	Player Piano Rolls	Oil Tankers	Racing Wheels
13-04	160	Bowling Balls	Barber Poles	Felt	Radar Guns
13-05	161	Copper Pipe Fittings	Cylinder Music Boxes	Pepper Mills	Hot Rod Steering Columns
13-06	162	Gears	Leather Watchbands	Vitrelle Dishes	Kitchen Shears
13-07	163	Pressure Cookers	Mechanical Singing Birds	Oceanographic Buoys	Stainless-Steel Tank Trailers
13-08	164	Aluminium Boats	Alpine Horns	es Luxury Watch (Part 1)	es Luxury Watch (Part 2)
13-09	165	All-Terrain Vehicles	Alpine Skis	Laser Cutters	Marble Sculptures
13-10	166	Socket Sets	Leather Shoes	Aluminium Water Bottles	Bike Chains
13-11	167	Carved Wood Sculptures	Flatware	Cow Bells	Fountain Pens
13-12	168	Olive Oil	Lift s Truck	Seamless Rolled Rings	Ski Boots
13-13	169	Professional Cookware	Luxury Inlaid Boxes	High-Efficiency Water Heaters	Scooters
