Rank	WS Points	Name	Country	09-10 I/O best	09-10 GP/JGP best	09-10 GP/JGP 2nd	09-10 OI best	09-10 OI 2nd	08-09 I/O best	08-09 GP/JGP best	08-09 GP/JGP 2nd	08-09 OI best	08-09 OI 2nd
1	4024	Yu-Na Kim	South Korea	1200	800	400	0	0	840	504	280	0	0
2	3341	Joannie Rochette	Canada	972	525	400	0	0	756	408	280	0	0
3	3275	Mao Asada	Japan	1200	360	262	0	0	613	560	280	0	0
4	3257	Miki Ando	Japan	875	720	400	0	0	680	330	252	0	0
5	3097	Laura Lepistö	Finland	972	324	262	225	0	588	227	183	158	158
6	3000	Carolina Kostner	Italy	840	236	236	250	0	529	454	280	175	0
7	2904	Akiko Suzuki	Japan	756	648	400	250	0	281	252	0	175	142
8	2590	Alena Leonova	Russia	517	472	360	250	0	501	183	149	158	0
9	2297	Rachael Flatt	USA	638	360	292	0	0	551	252	204	0	0
10	2296	Kanako Murakami	Japan	715	600	250	250	0	0	306	175	0	0
11	2024	Caroline Zhang	USA	680	292	191	0	0	451	227	183	0	0
12	1977	Kiira Korpi	Finland	612	360	191	225	203	386	0	0	0	0
13	1906	Elene Gedevanishvili	Georgia	680	236	213	0	0	326	149	0	175	127
14	1905	Cynthia Phaneuf	Canada	787	236	213	0	0	386	149	134	0	0
15	1801	Alissa Czisny	USA	0	360	292	250	0	293	227	204	175	0
16	1756	Ashley Wagner	USA	0	583	360	0	0	405	204	204	0	0
17	1746	Mirai Nagasu	USA	875	292	262	0	0	0	183	134	0	0
18	1740	Ksenia Makarova	Russia	574	437	225	250	0	0	127	127	0	0
19	1586	Joshi Helgesson	Sweden	308	0	0	225	203	365	93	76	158	158
20	1534	Jenna McCorkell	United Kingdom	305	191	0	203	164	253	149	0	142	127
21	1408	Sarah Hecken	Germany	377	191	0	0	0	266	142	115	175	142
22	1404	Jelena Glebova	Estonia	325	262	0	182	0	185	165	0	158	127
23	1399	Haruka Imai	Japan	551	203	0	203	164	103	175	0	0	0
24	1386	Fumie Suguri	Japan	0	292	213	0	0	402	252	227	0	0
25	1311	Polina Shelepen	Russia	521	540	250	0	0	0	0	0	0	0
26	1278	Viktoria Helgesson	Sweden	465	0	0	250	164	109	0	0	175	115
27	1220	Sarah Meier	Switzerland	551	0	0	0	0	362	165	0	142	0
28	1213	Amanda Dobbs	USA	612	0	0	203	0	0	223	175	0	0
29	1139	Alexe Gilles	USA	362	262	0	0	0	0	340	175	0	0
30	1123	Amélie Lacoste	Canada	446	236	213	0	0	228	0	0	0	0
31	1088	Anna Ovcharova	Russia	469	394	225	0	0	0	0	0	0	0
32	1052	Valentina Marchei	Italy	402	0	0	250	225	0	0	0	175	0
33	1041	Ivana Reitmayerova	Slovakia	192	97	0	0	0	239	104	76	175	158
34	1031	Christina Gao	USA	342	486	203	0	0	0	0	0	0	0
35	1016	Diane Szmiett	Canada	325	191	0	0	0	141	201	158	0	0
36	1013	Angela Maxwell	USA	0	354	225	0	0	0	276	158	0	0
37	960	Yukiko Fujisawa	Japan	0	182	0	225	0	0	378	175	0	0
38	949	Kiri Baga	USA	380	319	250	0	0	0	0	0	0	0
39	930	Polina Agafonova	Russia	579	203	148	0	0	0	0	0	0	0
40	885	Yan Liu	China	264	213	0	203	0	205	0	0	0	0
41	832	Tuğba Karademir	Turkey	264	0	0	182	0	228	0	0	158	0
42	775	Katarina Gerboldt	Russia	0	0	0	225	203	347	0	0	0	0
43	770	Kristine Musademba	USA	0	250	97	0	0	0	248	175	0	0
44	767	Kate Charbonneau	Canada	422	225	120	0	0	0	0	0	0	0
45	708	Na-Young Kim	South Korea	192	0	0	203	0	155	0	0	158	0
46	707	Stefania Berton	Italy	0	0	0	0	0	121	142	127	175	142
47	695	Oksana Gozeva	Russia	237	0	0	0	0	216	158	84	0	0
48	693	Min-Jung Kwak	South Korea	496	0	0	0	0	55	142	0	0	0
49	645	Annette Dytrt	Germany	0	191	0	0	0	312	0	0	142	0
