Tie no	Home team	Score	Away team	Attendance
1	Barrow	3–1	Gateshead F.C	551
2	York City	1–1	Mansfield Town	608
York won 4–2 on penalties	York won 4–2 on penalties	York won 4–2 on penalties	York won 4–2 on penalties	York won 4–2 on penalties
3	Forest Green Rovers	2–1	Oxford United	383
4	Altrincham	1–2	Wrexham	537
5	Stafford Rangers	1–2	Southport	261
6	Bath City	0–1	Salisbury City	230
7	Weymouth	0–3	Torquay United	621
8	Woking	3–0	Bognor Regis Town	480
9	Crawley Town	3–0	Havant & Waterlooville	239
10	Eastbourne Borough	1–3	Ebbsfleet United	300
11	Hinckley United	2–1	Histon	202
12	Rushden & Diamonds	0–3	Stevenage Borough	430
13	A.F.C. Telford United	4–3	Cambridge United	941
14	Kettering Town	4–1	Thurrock	438
15	Grays Athletic	2–4	Chelmsford City	262
16	Burton Albion	3–2	Kidderminster Harriers	554
