Title	Series	Director	Production Num.	Release date
Buddy the Gob	LT	Friz Freleng	6125	1934-01-13
Pettin' in the Park	MM	Bernard Brown	5960	1934-01-27
Honeymoon Hotel	MM	Earl Duvall	6126	1934-02-17
Buddy and Towser	LT	Friz Freleng	6174	1934-02-24
Buddy's Garage	LT	Earl Duvall	6176	1934-04-14
Beauty and the Beast	MM	Friz Freleng	6175	1934-04-14
Those Were Wonderful Days	MM	Bernard Brown	6199	1934-04-26
Buddy's Trolley Troubles	LT	Friz Freleng	6200	1934-05-05
Goin' to Heaven on a Mule	MM	Friz Freleng	6209	1934-05-19
Buddy of the Apes	LT	Ben Hardaway	6217	1934-05-26
How Do I Know It's Sunday	MM	Friz Freleng	6253	1934-06-09
Buddy's Bearcats	LT	Jack King	6326	1934-06-23
Why Do I Dream Those Dreams	MM	Friz Freleng	6373	1934-06-30
Buddy's Circus	LT	Jack King	6440	1934-12-08
The Miller's Daughter	MM	Friz Freleng	6441	1934-10-06
Buddy the Detective	LT	Jack King	6442	1934-10-13
The Girl at the Ironing Board	MM	Friz Freleng	6439	1934-09-15
Viva Buddy	LT	Jack King	6492	1934-09-29
Shake Your Powder Puff	MM	Friz Freleng	6494	1934-09-22
Buddy the Woodsman	LT	Jack King	6374	1934-10-27
Rhythm in the Bow	MM	Ben Hardaway	6495	1934-10-20
Those Beautiful Dames	MM	Friz Freleng	6571	1934-11-03
Buddy's Adventures	LT	Ben Hardaway	6570	1934-11-10
Pop Goes Your Heart	MM	Friz Freleng	6609	1934-12-01
Buddy the Dentist	LT	Ben Hardaway	6610	1934-12-15
