Week	Date	Opponent	Result	Attendance
1	September 3, 2000	at New York Giants	L 21-16	77,434
2	September 10, 2000	Dallas Cowboys	W 32-31	66,008
3	Bye	Bye	Bye	Bye
4	September 24, 2000	Green Bay Packers	L 29-3	71,801
5	October 1, 2000	at San Francisco 49ers	L 27-20	66,985
6	October 8, 2000	Cleveland Browns	W 29-21	44,296
7	October 15, 2000	Philadelphia Eagles	L 33-14	38,293
8	October 22, 2000	at Dallas Cowboys	L 48-7	62,981
9	October 29, 2000	New Orleans Saints	L 21-10	35,286
10	November 5, 2000	Washington Redskins	W 16-15	52,244
11	November 12, 2000	at Minnesota Vikings	L 31-14	64,223
12	November 19, 2000	at Philadelphia Eagles	L 34-9	65,356
13	November 26, 2000	New York Giants	L 31-7	42,094
14	December 3, 2000	at Cincinnati Bengals	L 24-13	50,289
15	December 10, 2000	at Jacksonville Jaguars	L 44-10	53,472
16	December 17, 2000	Baltimore Ravens	L 13-7	37,452
17	December 24, 2000	at Washington Redskins	L 20-3	65,711
