Year	2010	2009	2008	2005	2000
Shanghai	1	2	1	1	1
Beijing	2	1	2	2	2
Tianjin	3	3	3	3	3
Jiangsu	4	4	5	6	6
Zhejiang	5	5	4	4	4
Inner Mongolia	6	6	7	10	15
Guangdong	7	7	6	5	5
Liaoning	8	9	9	8	8
Shandong	9	8	8	7	9
Fujian	10	10	10	9	7
Jilin	11	11	11	13	13
Hebei	12	12	12	11	11
Hubei	13	14	16	17	16
Chongqing	14	13	15	16	17
Shaanxi	15	16	18	20	23
Heilongjiang	16	15	13	12	10
Ningxia	17	17	19	22	21
Shanxi	18	18	14	15	18
Xinjiang	19	21	17	14	12
Hunan	20	20	22	21	20
Henan	21	19	20	18	19
Qinghai	22	22	21	23	22
Hainan	23	23	23	19	14
Jiangxi	24	25	24	24	25
Sichuan	25	24	25	25	24
Anhui	26	26	27	27	26
Guangxi	27	27	26	28	28
Tibet	28	28	28	26	29
Gansu	29	30	30	30	30
Yunnan	30	29	29	29	27
Guizhou	31	31	31	31	31
