Processor	Brand name	Model (list)	Cores	L2 Cache	Socket	TDP
Penryn-L	Core 2 Solo	SU3xxx	1	3 MiB	BGA956	5.5W
Penryn-3M	Core 2 Duo	SU7xxx	2	3 MB	BGA956	10W
Penryn-3M	Core 2 Duo	SU9xxx	2	3 MB	BGA956	10W
Penryn	Core 2 Duo	SL9xxx	2	6 MiB	BGA956	17W
Penryn	Core 2 Duo	SP9xxx	2	6 MiB	BGA956	25/28W
Penryn-3M	Core 2 Duo	P7xxx	2	3 MiB	Socket P FCBGA6	25W
Penryn-3M	Core 2 Duo	P8xxx	2	3 MiB	Socket P FCBGA6	25W
Penryn	Core 2 Duo	P9xxx	2	6 MiB	Socket P FCBGA6	25W
Penryn-3M	Core 2 Duo	T6xxx	2	2 MiB	Socket P FCBGA6	35W
Penryn-3M	Core 2 Duo	T8xxx	2	3 MiB	Socket P FCBGA6	35W
Penryn	Core 2 Duo	T9xxx	2	6 MiB	Socket P FCBGA6	35W
Penryn	Core 2 Duo	E8x35	2	6 MiB	Socket P	35-55W
Penryn-QC	Core 2 Quad	Q9xxx	4	2x3-2x6 MiB	Socket P	45W
Penryn XE	Core 2 Extreme	X9xxx	2	6 MiB	Socket P	44W
Penryn-QC	Core 2 Extreme	QX9xxx	4	2x6 MiB	Socket P	45W
Penryn-3M	Celeron	T3xxx	2	1 MiB	Socket P	35W
Penryn-3M	Celeron	SU2xxx	2	1 MiB	µFC-BGA 956	10W
Penryn-L	Celeron	9xx	1	1 MiB	Socket P	35W
Penryn-L	Celeron	7x3	1	1 MiB	µFC-BGA 956	10W
Penryn-3M	Pentium	T4xxx	2	1 MiB	Socket P	35W
Penryn-3M	Pentium	SU4xxx	2	2 MiB	µFC-BGA 956	10W
