Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Burry Port RFC	20	18	0	2	438	180	64	23	8	0	80
Cefneithin RFC	20	15	0	5	379	206	55	25	6	3	69
Aberaeron RFC	20	13	0	7	369	232	49	28	6	5	63
Penygroes RFC	20	10	0	10	355	307	46	42	4	5	49
Llandybie RFC	20	9	0	11	377	376	48	52	5	6	47
Furnace United RFC	20	9	0	11	312	295	46	36	4	7	47
Fishguard and Goodwick RFC	20	9	0	11	261	321	31	41	2	5	43
Llangwm RFC	20	7	1	12	325	357	45	49	4	9	43
St. Davids RFC	20	9	0	11	256	494	32	69	1	2	39
St. Clears RFC	20	7	1	12	235	316	30	48	3	4	37
Pontyates RFC	20	3	0	17	230	453	29	62	2	6	20
